Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P172156215;P172156215_1;A;0;0;0;1600;1200;2700
P172156215;P172156215_2;B;0;1200;0;1600;2400;2700
P172156215;P172156215_3;C;1600;0;0;3200;1200;2700
P172156215;P172156215_4;D;1600;1200;0;3200;2400;2700
P172156215;P172156215_5;E;3200;0;0;4800;1200;2700
P172156215;P172156215_6;F;3200;1200;0;4800;2400;2700
P172156215;P172156215_7;G;4800;0;0;5800;1200;2865
P172156215;P172156215_8;H;4800;1200;0;5800;2400;2865
P172156215;P172156215_9;I;5800;0;0;6800;1200;2865
P172156215;P172156215_10;J;5800;1200;0;7400;2400;2340
P172156215;P172156215_11;K;6800;0;0;8400;1200;2700
P172156215;P172156215_12;L;7400;1200;0;9000;2400;2700
P172156215;P172156215_13;M;8400;0;0;9400;1200;2865
P172156215;P172156215_14;N;9000;1200;0;10600;2400;2700
P172156215;P172156215_15;O;9400;0;0;11000;1200;2700
P172156215;P172156215_16;P;10600;1200;0;12200;2400;2160
P172156215;P172156215_17;Q;11000;0;0;12000;1200;2865
P172156215;P172156215_18;R;12200;0;0;13200;1200;2865
P172156215;P172156215_19;S;12200;1200;0;13200;2400;2865
