Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090018000_08062023012821;P194730301;P194730301_1;A1;0;0;0;1000;1200;975
0090018000_08062023013122;P194730301;P194730301_1;A2;0;0;975;1000;1200;1905
0090018000_08062023013122;P194730301;P194730301_1;A3;0;0;1905;1000;1200;2835
0090018000_08062023011881;P194730301;P194730301_2;B1;0;1200;0;1000;2400;975
0090018000_08062023011957;P194730301;P194730301_2;B2;0;1200;975;1000;2400;1905
0090018000_08062023011957;P194730301;P194730301_2;B3;0;1200;1905;1000;2400;2835
0090018000_08062023003501;P194730301;P194730301_3;C1;1000;0;0;2000;1200;750
0090018000_08062023003501;P194730301;P194730301_3;C2;1000;0;750;2000;1200;1455
0090018000_08062023003501;P194730301;P194730301_3;C3;1000;0;1455;2000;1200;2160
0090018000_08062023010502;P194730301;P194730301_3;C4;1000;0;2160;2000;1200;2865
0090018000_08062023005988;P194730301;P194730301_4;D1;1000;1200;0;2000;2400;975
0090018000_08062023006253;P194730301;P194730301_4;D2;1000;1200;975;2000;2400;1905
0090018000_08062023007691;P194730301;P194730301_4;D3;1000;1200;1905;2000;2400;2835
0090018000_08062023005628;P194730301;P194730301_5;E1;2000;0;0;3600;1200;975
0090018000_08062023005628;P194730301;P194730301_5;E2;2000;0;975;3600;1200;1905
0090018000_08062023005628;P194730301;P194730301_5;E3;2000;0;1905;3600;1200;2835
0090018000_08062023013285;P194730301;P194730301_6;F1;2000;1200;0;3000;2400;975
0090018000_08062023013829;P194730301;P194730301_6;F2;2000;1200;975;3000;2400;1905
0090018000_08062023013935;P194730301;P194730301_6;F3;2000;1200;1905;3000;2400;2790
0090018000_08062023005896;P194730301;P194730301_7;G1;3000;1200;0;4900;2400;750
0090018000_08062023008499;P194730301;P194730301_7;G2;3000;1200;750;4900;2400;1455
0090018000_08062023009663;P194730301;P194730301_7;G3;3000;1200;1455;4900;2400;2160
0090018000_08062023009663;P194730301;P194730301_7;G4;3000;1200;2160;4900;2400;2865
