Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090018000_08062023004500;P213752701;P213752701_1;A1;0;0;0;1605;1205;1450
0090018000_08062023004500;P213752701;P213752701_1;A2;0;0;1450;1605;1205;2855
0090018000_08062023013174;P213752701;P213752701_2;B1;0;1205;0;1000;2405;1057
0090018000_08062023008870;P213752701;P213752701_2;B2;0;1205;1057;1000;2405;1516
0090018000_08062023011556;P213752701;P213752701_2;B3;0;1205;1516;1000;2405;1875
0090018000_08062023013981;P213752701;P213752701_2;B4;0;1205;1875;1000;2405;2932
0090018000_08062023008321;P213752701;P213752701_3;C1;1000;1205;0;2000;2405;750
0090018000_08062023010735;P213752701;P213752701_3;C2;1000;1205;750;2000;2405;1455
0090018000_08062023014641;P213752701;P213752701_3;C3;1000;1205;1455;2000;2405;2160
0090018000_08062023014641;P213752701;P213752701_3;C4;1000;1205;2160;2000;2405;2865
0090018000_08062023003514;P213752701;P213752701_4;D1;1605;0;0;2605;1200;975
0090018000_08062023003514;P213752701;P213752701_4;D2;1605;0;975;2605;1200;1905
0090018000_08062023003719;P213752701;P213752701_4;D3;1605;0;1905;2605;1200;2835
0090018000_08062023006171;P213752701;P213752701_5;E1;2000;1205;0;3000;2405;975
0090018000_08062023006171;P213752701;P213752701_5;E2;2000;1205;975;3000;2405;1905
0090018000_08062023006171;P213752701;P213752701_5;E3;2000;1205;1905;3000;2405;2835
0090018000_08062023003719;P213752701;P213752701_6;F1;2605;0;0;3605;1200;975
0090018000_08062023003719;P213752701;P213752701_6;F2;2605;0;975;3605;1200;1905
0090018000_08062023005544;P213752701;P213752701_6;F3;2605;0;1905;3605;1200;2835
0090018000_08062023008865;P213752701;P213752701_7;G1;3000;1205;0;4000;2405;975
0090018000_08062023008865;P213752701;P213752701_7;G2;3000;1205;975;4000;2405;1905
0090018000_08062023008865;P213752701;P213752701_7;G3;3000;1205;1905;4000;2405;2835
0090018000_08062023005520;P213752701;P213752701_8;H1;3605;0;0;4605;1200;1057
0090018000_08062023006297;P213752701;P213752701_8;H2;3605;0;1057;4605;1200;1516
0090018000_08062023006979;P213752701;P213752701_8;H3;3605;0;1516;4605;1200;2573
0090018000_08062023007945;P213752701;P213752701_8;H4;3605;0;2573;4605;1200;2932
0090018000_08062023006171;P213752701;P213752701_9;I1;4000;1205;0;5000;2405;975
0090018000_08062023006171;P213752701;P213752701_9;I2;4000;1205;975;5000;2405;1905
0090018000_08062023006171;P213752701;P213752701_9;I3;4000;1205;1905;5000;2405;2835
0090018000_08062023012997;P213752701;P213752701_10;J1;4605;0;0;5605;1200;930
0090018000_08062023008321;P213752701;P213752701_10;J2;4605;0;930;5605;1200;1635
0090018000_08062023012997;P213752701;P213752701_10;J3;4605;0;1635;5605;1200;2520
0090018000_08062023006171;P213752701;P213752701_11;K1;5605;0;0;6605;1200;975
0090018000_08062023007379;P213752701;P213752701_11;K2;5605;0;975;6605;1200;1905
0090018000_08062023007379;P213752701;P213752701_11;K3;5605;0;1905;6605;1200;2835
0090018000_08062023006171;P213752701;P213752701_12;L1;5605;1200;0;6605;2400;975
0090018000_08062023006171;P213752701;P213752701_12;L2;5605;1200;975;6605;2400;1905
0090018000_08062023006171;P213752701;P213752701_12;L3;5605;1200;1905;6605;2400;2835
0090018000_08062023003719;P213752701;P213752701_13;M1;6605;0;0;7605;1200;975
0090018000_08062023003719;P213752701;P213752701_13;M2;6605;0;975;7605;1200;1905
0090018000_08062023003719;P213752701;P213752701_13;M3;6605;0;1905;7605;1200;2835
0090018000_08062023006171;P213752701;P213752701_14;N1;6605;1205;0;7605;2405;975
0090018000_08062023006171;P213752701;P213752701_14;N2;6605;1205;975;7605;2405;1905
0090018000_08062023006171;P213752701;P213752701_14;N3;6605;1205;1905;7605;2405;2835
0090018000_08062023002775;P213752701;P213752701_15;O1;7605;0;0;8605;1200;975
0090018000_08062023002775;P213752701;P213752701_15;O2;7605;0;975;8605;1200;1905
0090018000_08062023003275;P213752701;P213752701_15;O3;7605;0;1905;8605;1200;2835
0090018000_08062023007379;P213752701;P213752701_16;P1;7605;1205;0;8605;2405;975
0090018000_08062023007932;P213752701;P213752701_16;P2;7605;1205;975;8605;2405;1905
0090018000_08062023008865;P213752701;P213752701_16;P3;7605;1205;1905;8605;2405;2835
0090018000_08062023012768;P213752701;P213752701_17;Q1;8605;0;0;9605;1200;975
0090018000_08062023012768;P213752701;P213752701_17;Q2;8605;0;975;9605;1200;1905
0090018000_08062023013724;P213752701;P213752701_17;Q3;8605;0;1905;9605;1200;2835
0090018000_08062023003459;P213752701;P213752701_18;R1;8605;1200;0;9605;2400;975
0090018000_08062023003459;P213752701;P213752701_18;R2;8605;1200;975;9605;2400;1905
0090018000_08062023003514;P213752701;P213752701_18;R3;8605;1200;1905;9605;2400;2835
0090018000_08062023012997;P213752701;P213752701_19;S1;9605;0;0;10605;1200;930
0090018000_08062023012997;P213752701;P213752701_19;S2;9605;0;930;10605;1200;1815
0090018000_08062023012997;P213752701;P213752701_19;S3;9605;0;1815;10605;1200;2700
0090018000_08062023012768;P213752701;P213752701_20;T1;9605;1200;0;10605;2400;975
0090018000_08062023012768;P213752701;P213752701_20;T2;9605;1200;975;10605;2400;1905
0090018000_08062023012768;P213752701;P213752701_20;T3;9605;1200;1905;10605;2400;2835
0090018000_08062023014641;P213752701;P213752701_21;U1;10605;200;0;11805;1200;750
0090018000_08062023014641;P213752701;P213752701_21;U2;10605;200;750;11805;1200;1455
0090018000_08062023014641;P213752701;P213752701_21;U3;10605;200;1455;11805;1200;2160
0090018000_08062023014641;P213752701;P213752701_21;U4;10605;200;2160;11805;1200;2865
0090018000_08062023007379;P213752701;P213752701_22;V1;10605;1405;0;11805;2405;975
0090018000_08062023007379;P213752701;P213752701_22;V2;10605;1405;975;11805;2405;1905
0090018000_08062023007379;P213752701;P213752701_22;V3;10605;1405;1905;11805;2405;2835
0090018000_08062023004036;P213752701;P213752701_23;W1;11805;0;0;12805;1200;930
0090018000_08062023004036;P213752701;P213752701_23;W2;11805;0;930;12805;1200;1815
0090018000_08062023012997;P213752701;P213752701_23;W3;11805;0;1815;12805;1200;2700
0090018000_08062023003459;P213752701;P213752701_24;X1;11805;1200;0;12805;2400;975
