Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P212738701;P212738701_1;A;0;0;0;1000;2350;2760
P212738701;P212738701_2;B;1000;0;0;2000;2350;2760
P212738701;P212738701_3;C;2000;0;0;3000;2350;2760
P212738701;P212738701_4;D;3000;0;0;5350;1000;2760
P212738701;P212738701_5;E;3000;1350;0;5350;2350;2760
P212738701;P212738701_6;F;5350;0;0;6350;2350;2760
P212738701;P212738701_7;G;6350;0;0;7350;2350;2760
P212738701;P212738701_8;H;7350;0;0;8350;2350;2760
P212738701;P212738701_9;I;8350;0;0;9350;2350;2760
P212738701;P212738701_10;J;9350;0;0;10350;2350;2760
P212738701;P212738701_11;K;10350;0;0;11350;2350;2760
P212738701;P212738701_12;L;11350;350;0;13700;1350;2760
P212738701;P212738701_13;M;11350;1350;0;13700;2350;2760
P212738701;P212738701_14;N;13700;0;0;14700;2350;2760
