Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P192069127;P192069127_1;A;0;0;0;2000;1200;2875
P192069127;P192069127_2;B;0;1200;0;2400;2400;1620
P192069127;P192069127_3;C;2000;0;0;4400;1200;1800
P192069127;P192069127_4;D;2400;1200;0;4800;2400;1900
P192069127;P192069127_5;E;4400;0;0;6400;1200;2875
P192069127;P192069127_6;F;4800;1200;0;6800;2400;2875
P192069127;P192069127_7;G;6400;0;0;7600;1200;2200
P192069127;P192069127_8;H;6800;1200;0;8600;2400;2340
P192069127;P192069127_9;I;7600;0;0;9600;1200;2875
P192069127;P192069127_10;J;8600;1200;0;9800;2400;2200
P192069127;P192069127_11;K;9600;400;0;10200;1200;560
P192069127;P192069127_12;L;9800;1200;0;12200;2400;2000
P192069127;P192069127_13;M;10200;0;0;12200;1200;2875
P192069127;P192069127_14;N;12200;0;0;13400;2400;2000
