Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P220770405;P220770405_1;A;0;0;0;1200;1000;2835
P220770405;P220770405_2;B;0;1000;0;1200;2000;2835
P220770405;P220770405_3;C;1200;0;0;2400;1000;2835
P220770405;P220770405_4;D;1200;1400;0;2400;2400;2835
P220770405;P220770405_5;E;2400;0;0;3400;1200;2835
P220770405;P220770405_6;F;2400;1200;0;3400;2400;2835
P220770405;P220770405_7;G;3400;0;0;4400;1200;1905
P220770405;P220770405_8;H;3400;1200;0;4400;2400;2835
P220770405;P220770405_9;I;4400;0;0;5400;1200;2835
P220770405;P220770405_10;J;4400;1200;0;5400;2400;2835
P220770405;P220770405_11;K;5400;0;0;6400;1200;2835
P220770405;P220770405_12;L;5400;1200;0;6400;2400;2835
P220770405;P220770405_13;M;6400;0;0;7400;1200;2835
P220770405;P220770405_14;N;6400;1200;0;7400;2400;2835
P220770405;P220770405_15;O;7400;0;0;8400;1200;2835
P220770405;P220770405_16;P;7400;1200;0;8400;2400;2835
P220770405;P220770405_17;Q;8400;0;0;9400;1200;2835
P220770405;P220770405_18;R;8400;1200;0;9400;2400;2835
P220770405;P220770405_19;S;9400;0;0;10400;1200;2835
P220770405;P220770405_20;T;9400;1200;0;10400;2400;2835
P220770405;P220770405_21;U;10400;0;0;11400;1200;2835
P220770405;P220770405_22;V;10400;1200;0;11400;2400;2835
P220770405;P220770405_23;W;11400;0;0;12400;1200;2835
P220770405;P220770405_24;X;11400;1200;0;12400;2400;2835
P220770405;P220770405_25;Y;12400;0;0;13600;1000;2835
P220770405;P220770405_26;Z;12400;1200;0;13600;2200;2835
P220770405;P220770405_27;AA;13600;0;0;14600;1200;2835
P220770405;P220770405_28;AB;13600;1233;0;14800;2233;2835
