Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P200037401;P200037401_1;A;0;0;0;1600;1200;2700
P200037401;P200037401_2;B;0;1200;0;1000;2400;1905
P200037401;P200037401_3;C;1000;1200;0;2000;2400;2835
P200037401;P200037401_4;D;2000;0;0;3600;1200;2865
P200037401;P200037401_5;E;2000;1200;0;3600;2400;2865
P200037401;P200037401_6;F;3600;0;0;5500;1200;2865
P200037401;P200037401_7;G;3600;1200;0;5200;2400;2865
P200037401;P200037401_8;H;5500;0;0;7100;1200;2700
P200037401;P200037401_9;I;5500;1200;0;7100;2400;2700
P200037401;P200037401_10;J;7100;0;0;8700;1200;2865
P200037401;P200037401_11;K;7100;1200;0;8700;2400;2865
P200037401;P200037401_12;L;8700;0;0;10300;1200;2520
P200037401;P200037401_13;M;8700;1200;0;10300;2400;2700
P200037401;P200037401_14;N;10300;0;0;11900;1200;2700
P200037401;P200037401_15;O;10300;1200;0;11900;2400;2865
P200037401;P200037401_16;P;11900;0;0;13500;1200;2700
P200037401;P200037401_17;Q;11900;1200;0;13500;2400;2700
