Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P191731005;P191731005_1;A;0;1300;0;1600;2500;2700
P191731005;P191731005_2;B;0;0;0;1605;1205;1480
P191731005;P191731005_3;C;1600;1300;0;3400;2500;2655
P191731005;P191731005_4;D;1605;0;0;3210;1205;1950
P191731005;P191731005_5;E;3210;0;0;4810;1200;2700
P191731005;P191731005_6;F;3400;1300;0;4400;2500;2565
P191731005;P191731005_7;G;4400;1300;0;6000;2500;2340
P191731005;P191731005_8;H;4810;0;0;6410;1200;2520
P191731005;P191731005_9;I;6000;1300;0;7800;2500;2655
P191731005;P191731005_10;J;6410;0;0;7410;1200;2835
P191731005;P191731005_11;K;7410;0;0;9010;1200;2700
P191731005;P191731005_12;L;7800;1300;0;9400;2500;2700
P191731005;P191731005_13;M;9010;0;0;10010;1200;2520
P191731005;P191731005_14;N;9400;1300;0;11000;2500;2700
P191731005;P191731005_15;O;10010;0;0;11610;1200;2340
P191731005;P191731005_16;P;11000;1295;0;12605;2500;2880
P191731005;P191731005_17;Q;11610;0;0;13210;1200;2700
P191731005;P191731005_18;R;12605;1300;0;13605;2500;2840
P191731005;P191731005_19;S;13210;0;0;14210;1200;2340
P191731005;P191731005_20;T;13605;1300;0;14605;2500;750
