Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0090018000_08062023012748;P202770405;P202770405_1;A1;0;0;0 ;1000 ;1200 ;975
0090018000_08062023012748;P202770405;P202770405_1;A2;0;0;975 ;1000 ;1200 ;1905
0090018000_08062023012748;P202770405;P202770405_1;A3;0;0;1905 ;1000 ;1200 ;2835
0090018000_08062023012748;P202770405;P202770405_2;B1;0;1300;0 ;1000 ;2500 ;975
0090018000_08062023012748;P202770405;P202770405_2;B2;0;1300;975 ;1000 ;2500 ;1905
0090018000_08062023012748;P202770405;P202770405_2;B3;0;1300;1905 ;1000 ;2500 ;2835
0090018000_08062023012748;P202770405;P202770405_3;C1;1000;1300;0 ;2000 ;2500 ;975
0090018000_08062023012748;P202770405;P202770405_3;C2;1000;1300;975 ;2000 ;2500 ;1905
0090018000_08062023012748;P202770405;P202770405_3;C3;1000;1300;1905 ;2000 ;2500 ;2835
0090018000_08062023012748;P202770405;P202770405_4;D1;1000;0;0 ;2000 ;1200 ;975
0090018000_08062023012748;P202770405;P202770405_4;D2;1000;0;975 ;2000 ;1200 ;1905
0090018000_08062023012748;P202770405;P202770405_4;D3;1000;0;1905 ;2000 ;1200 ;2835
0090018000_08062023012748;P202770405;P202770405_5;E1;2000;0;0 ;3000 ;1200 ;975
0090018000_08062023012748;P202770405;P202770405_5;E2;2000;0;975 ;3000 ;1200 ;1905
0090018000_08062023012748;P202770405;P202770405_5;E3;2000;0;1905 ;3000 ;1200 ;2835
0090018000_08062023012748;P202770405;P202770405_6;F1;2000;1300;0 ;3000 ;2500 ;975
0090018000_08062023012748;P202770405;P202770405_6;F2;2000;1300;975 ;3000 ;2500 ;1905
0090018000_08062023012748;P202770405;P202770405_6;F3;2000;1300;1905 ;3000 ;2500 ;2835
0090018000_08062023012748;P202770405;P202770405_7;G1;3000;1300;0 ;4000 ;2500 ;975
0090018000_08062023012748;P202770405;P202770405_7;G2;3000;1300;975 ;4000 ;2500 ;1905
0090018000_08062023012748;P202770405;P202770405_7;G3;3000;1300;1905 ;4000 ;2500 ;2835
0090018000_08062023012748;P202770405;P202770405_8;H1;3000;0;0 ;4000 ;1200 ;975
0090018000_08062023012748;P202770405;P202770405_8;H2;3000;0;975 ;4000 ;1200 ;1905
0090018000_08062023012748;P202770405;P202770405_8;H3;3000;0;1905 ;4000 ;1200 ;2835
0090018000_08062023012748;P202770405;P202770405_9;I1;4000;0;0 ;5000 ;1200 ;975
0090018000_08062023012748;P202770405;P202770405_9;I2;4000;0;975 ;5000 ;1200 ;1905
0090018000_08062023012748;P202770405;P202770405_9;I3;4000;0;1905 ;5000 ;1200 ;2835
0090018000_08062023012748;P202770405;P202770405_10;J1;4000;1300;0 ;5000 ;2500 ;975
0090018000_08062023012748;P202770405;P202770405_10;J2;4000;1300;975 ;5000 ;2500 ;1905
0090018000_08062023012748;P202770405;P202770405_10;J3;4000;1300;1905 ;5000 ;2500 ;2835
