Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090018000_08062023000237;0043339700;;0090018000;X1;484717353R;ECA---0021;1;1200;1000;359;51,500;0;GERB--3551_1200_1000;none;202307210000;202307240750;14;100
0090018000_08062023000617;0043339700;;0090018000;X1;769151408R;SLI---0770;3;1200;1000;975;134,920;45;GERB--1213_1200_1000;none;202307210000;202307240750;1;100
0090018000_08062023000955;0043339700;;0090018000;X1;969417205R;ECA---0021;1;1200;1000;1057;82,200;0;GERB--3551_1200_1000;none;202307210000;202307240750;3;100
0090018000_08062023001395;0043339700;;0090018000;X1;850908990R;SLI---1271;2;1600;1200;975;197,164;45;GERB--1613_1600_1200;none;202307210000;202307240750;3;100
0090018000_08062023001448;0043339700;;0090018000;X1;769121432R;ECA---0021;1;1200;1000;943;88,470;0;GERB--3551_1200_1000;none;202307210000;202307240750;3;100
0090018000_08062023001564;0043339700;;0090018000;X1;985P33421R;ECA---0021;1;1200;1000;359;49,495;0;GERB--3551_1200_1000;none;202307210000;202307240750;42;100
0090018000_08062023001676;0043339700;;0090018000;X1;909006477R;SLI---0770;6;1200;1000;975;142,590;45;GERB--1213_1200_1000;none;202307210000;202307240750;2;100
0090018000_08062023001801;0043339700;;0090018000;X1;769370345R;SLI---0770;6;1200;1000;975;132,804;45;GERB--1213_1200_1000;none;202307210000;202307240750;1;100
0090018000_08062023001804;0043339700;;0090018000;X1;261A28939R;ECA---0021;1;1200;1000;459;30,650;0;GERB--3551_1200_1000;none;202307210000;202307240750;6;100
0090018000_08062023001879;0043339700;;0090018000;X1;769346765R;SLI---0770;1;1200;1000;975;152,112;45;GERB--1213_1200_1000;none;202307240000;202307251130;2;100
0090018000_08062023002112;0043339700;;0090018000;X1;620927800R;SLI---0771;1;1200;1000;975;149,310;45;GERB--1213_1200_1000;none;202307210000;202307240750;2;100
0090018000_08062023002308;0043339700;;0090018000;X1;849E56652R;ECA---0021;1;1200;1000;259;23,316;0;GERB--3551_1200_1000;none;202307210000;202307240750;32;100
0090018000_08062023002984;0043339700;;0090018000;X1;985P07857R;ECA---0021;1;1200;1000;459;51,740;0;GERB--3551_1200_1000;none;202307210000;202307240750;9;100
0090018000_08062023003318;0043339700;;0090018000;X1;684709891R;ECA---0021;1;1200;1000;359;24,912;0;GERB--3551_1200_1000;none;202307210000;202307240750;80;100
0090018000_08062023003749;0043339700;;0090018000;X1;769115976R;ECA---0021;1;1200;1000;943;88,470;0;GERB--3551_1200_1000;none;202307210000;202307240750;3;100
0090018000_08062023004252;0043339700;;0090018000;X1;269161639R;ECA---0021;1;1200;1000;421;47,022;0;GERB--3551_1200_1000;none;202307210000;202307240750;3;100
0090018000_08062023004496;0043339700;;0090018000;X1;620727808R;SLI---1271;7;1600;1200;975;166,392;45;GERB--1613_1600_1200;none;202307210000;202307240750;1;100
0090018000_08062023004801;0043339700;;0090018000;X1;681328547R;SLI---0601;3;1200;1000;750;119,080;45;GERB--1213_1200_1000;none;202307210000;202307240750;2;100
0090018000_08062023005821;0043339700;;0090018000;X1;769359302R;SLI---0770;1;1200;1000;975;152,112;45;GERB--1213_1200_1000;none;202307210000;202307240750;2;100
0090018000_08062023005954;0043339700;;0090018000;X1;269115341R;ECA---0021;1;1200;1000;421;46,866;0;GERB--3551_1200_1000;none;202307210000;202307240750;3;100
0090018000_08062023006186;0043339700;;0090018000;X1;769362610R;SLI---0601;3;1200;1000;750;106,030;45;GERB--1213_1200_1000;none;202307210000;202307240750;2;100
0090018000_08062023006468;0043339700;;0090018000;X1;484722442R;ECA---0021;1;1200;1000;1057;98,310;0;GERB--3551_1200_1000;none;202307210000;202307240750;3;100
0090018000_08062023006604;0043339700;;0090018000;X1;682406061R;ECA---0021;1;1200;1000;1057;109,680;0;GERB--3551_1200_1000;none;202307210000;202307240750;4;100
0090018000_08062023007224;0043339700;;0090018000;X1;769166933R;SLI---0770;3;1200;1000;975;134,920;45;GERB--1213_1200_1000;none;202307210000;202307240750;1;100
0090018000_08062023007422;0043339700;;0090018000;X1;682603635R;ECA---0021;2;1200;1000;459;47,020;0;GERB--3551_1200_1000;none;202307210000;202307240750;16;100
0090018000_08062023007437;0043339700;;0090018000;X1;684100207R;ECA---0021;1;1200;1000;359;46,900;0;GERB--3551_1200_1000;none;202307210000;202307240750;18;100
0090018000_08062023007711;0043339700;;0090018000;X1;849934312R;SLI---0771;1;1200;1000;975;155,680;45;GERB--1213_1200_1000;none;202307210000;202307240750;4;100
0090018000_08062023008876;0043339700;;0090018000;X1;620846124R;SLI---0770;1;1200;1000;975;191,520;45;GERB--1213_1200_1000;none;202307210000;202307240750;5;100
0090018000_08062023009576;0043339700;;0090018000;X1;769364393R;SLI---0770;5;1200;1000;975;132,804;45;GERB--1213_1200_1000;none;202307210000;202307240750;1;100
0090018000_08062023009832;0043339700;;0090018000;X1;620936395R;SLI---0771;1;1200;1000;975;149,310;45;GERB--1213_1200_1000;none;202307210000;202307240750;2;100
