Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090018000_08062023001879;P205730301;P205730301_1;A1;0;1300;0 ;1000 ;2500 ;975
0090018000_08062023010323;P205730301;P205730301_1;A2;0;1300;975 ;1000 ;2500 ;1905
0090018000_08062023011507;P205730301;P205730301_1;A3;0;1300;1905 ;1000 ;2500 ;2835
0090018000_08062023003318;P205730301;P205730301_2;B1;0;0;0 ;1000 ;1200 ;359
0090018000_08062023006604;P205730301;P205730301_2;B2;0;0;359 ;1000 ;1200 ;1416
0090018000_08062023004252;P205730301;P205730301_2;B3;0;0;1416 ;1000 ;1200 ;1837
0090018000_08062023006468;P205730301;P205730301_2;B4;0;0;1837 ;1000 ;1200 ;2894
0090018000_08062023001395;P205730301;P205730301_3;C1;1000;0;0 ;2600 ;1200 ;975
0090018000_08062023001395;P205730301;P205730301_3;C2;1000;0;975 ;2600 ;1200 ;1905
0090018000_08062023004496;P205730301;P205730301_3;C3;1000;0;1905 ;2600 ;1200 ;2835
0090018000_08062023002308;P205730301;P205730301_4;D1;1000;1300;0 ;2000 ;2500 ;259
0090018000_08062023002984;P205730301;P205730301_4;D2;1000;1300;259 ;2000 ;2500 ;718
0090018000_08062023007422;P205730301;P205730301_4;D3;1000;1300;718 ;2000 ;2500 ;1177
0090018000_08062023007422;P205730301;P205730301_4;D4;1000;1300;1177 ;2000 ;2500 ;1636
0090018000_08062023012795;P205730301;P205730301_4;D5;1000;1300;1636 ;2000 ;2500 ;1995
0090018000_08062023001804;P205730301;P205730301_4;D6;1000;1300;1995 ;2000 ;2500 ;2454
0090018000_08062023011122;P205730301;P205730301_4;D7;1000;1300;2454 ;2000 ;2500 ;2913
0090018000_08062023005821;P205730301;P205730301_5;E1;2000;1300;0 ;3000 ;2500 ;975
0090018000_08062023014637;P205730301;P205730301_5;E2;2000;1300;975 ;3000 ;2500 ;1905
0090018000_08062023000617;P205730301;P205730301_5;E3;2000;1300;1905 ;3000 ;2500 ;2835
0090018000_08062023000617;P205730301;P205730301_6;F1;2600;0;0 ;3600 ;1200 ;975
0090018000_08062023000617;P205730301;P205730301_6;F2;2600;0;975 ;3600 ;1200 ;1905
0090018000_08062023008876;P205730301;P205730301_6;F3;2600;0;1905 ;3600 ;1200 ;2835
0090018000_08062023001564;P205730301;P205730301_7;G1;3000;1300;0 ;4000 ;2500 ;359
0090018000_08062023013636;P205730301;P205730301_7;G2;3000;1300;359 ;4000 ;2500 ;818
0090018000_08062023013449;P205730301;P205730301_7;G3;3000;1300;818 ;4000 ;2500 ;1277
0090018000_08062023007437;P205730301;P205730301_7;G4;3000;1300;1277 ;4000 ;2500 ;1636
0090018000_08062023000237;P205730301;P205730301_7;G5;3000;1300;1636 ;4000 ;2500 ;1995
0090018000_08062023005954;P205730301;P205730301_7;G6;3000;1300;1995 ;4000 ;2500 ;2416
0090018000_08062023013118;P205730301;P205730301_7;G7;3000;1300;2416 ;4000 ;2500 ;2875
0090018000_08062023007224;P205730301;P205730301_8;H1;3600;0;0 ;4600 ;1200 ;975
0090018000_08062023007224;P205730301;P205730301_8;H2;3600;0;975 ;4600 ;1200 ;1905
0090018000_08062023007224;P205730301;P205730301_8;H3;3600;0;1905 ;4600 ;1200 ;2835
0090018000_08062023004801;P205730301;P205730301_9;I1;4000;1300;0 ;5000 ;2500 ;750
0090018000_08062023004801;P205730301;P205730301_9;I2;4000;1300;750 ;5000 ;2500 ;1455
0090018000_08062023004801;P205730301;P205730301_9;I3;4000;1300;1455 ;5000 ;2500 ;2160
0090018000_08062023012755;P205730301;P205730301_9;I4;4000;1300;2160 ;5000 ;2500 ;2865
0090018000_08062023012755;P205730301;P205730301_10;J1;4600;0;0 ;5600 ;1200 ;750
0090018000_08062023007711;P205730301;P205730301_10;J2;4600;0;750 ;5600 ;1200 ;1680
