Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P216730301;P216730301_1;A;0;1300;0;1000;2500;2835
P216730301;P216730301_2;B;0;0;0;1000;1200;2835
P216730301;P216730301_3;C;1000;0;0;2000;1200;2892
P216730301;P216730301_4;D;1000;1300;0;2000;2500;2835
P216730301;P216730301_5;E;2000;1300;0;3000;2500;2835
P216730301;P216730301_6;F;2000;0;0;3000;1200;2913
P216730301;P216730301_7;G;3000;0;0;4600;1200;2835
P216730301;P216730301_8;H;3000;1300;0;4000;2500;2865
P216730301;P216730301_9;I;4000;1300;0;5000;2500;2835
P216730301;P216730301_10;J;4600;0;0;5600;1200;2835
P216730301;P216730301_11;K;5000;1300;0;6000;2500;2932
P216730301;P216730301_12;L;5600;0;0;6600;1200;2573
P216730301;P216730301_13;M;6000;1300;0;7000;2500;2872
P216730301;P216730301_14;N;6600;0;0;7600;1200;2835
P216730301;P216730301_15;O;7000;1300;0;8000;2500;2835
P216730301;P216730301_16;P;7600;0;0;9200;1200;2835
P216730301;P216730301_17;Q;8000;1300;0;9600;2500;2835
P216730301;P216730301_18;R;9200;0;0;10200;1200;2535
P216730301;P216730301_19;S;9600;1300;0;10600;2500;2865
P216730301;P216730301_20;T;10200;0;0;11200;1200;2610
P216730301;P216730301_21;U;10600;1300;0;11600;2500;2610
P216730301;P216730301_22;V;11200;0;0;13100;1200;2160
P216730301;P216730301_23;W;11600;1300;0;12600;2500;2835
P216730301;P216730301_24;X;12600;1300;0;13600;2500;2835
P216730301;P216730301_25;Y;13100;0;0;14700;1200;2835
P216730301;P216730301_26;Z;13600;1300;0;14600;2500;2835
