Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090018000_08062023000457;0043339700;;0090018000;X1;809002652R;ECM---0560;3;2350;1000;950;271,360;45;GERB--1058_2350_1000;none;202307310000;202308011215;2;100
0090018000_08062023002765;0043339700;;0090018000;X1;809010183R;ECM---0560;5;2350;1000;950;286,656;45;GERB--1058_2350_1000;none;202307280000;202307311255;3;100
0090018000_08062023002889;0043339700;;0090018000;X1;809000868R;ECM---0560;2;2350;1000;950;286,656;45;GERB--1058_2350_1000;none;202307280000;202307310630;3;100
0090018000_08062023003683;0043339700;;0090018000;X1;829015765R;ECM---0560;2;2350;1000;950;267,040;45;GERB--1058_2350_1000;none;202307280000;202307311255;2;100
0090018000_08062023004918;0043339700;;0090018000;X1;829001375R;ECM---0560;2;2350;1000;950;272,592;45;GERB--1058_2350_1000;none;202307280000;202307310630;2;100
0090018000_08062023007223;0043339700;;0090018000;X1;829001375R;ECM---0560;12;2350;1000;950;272,592;45;GERB--1058_2350_1000;none;202307310000;202308011215;2;100
0090018000_08062023008307;0043339700;;0090018000;X1;829013154R;ECM---0560;2;2350;1000;950;272,592;45;GERB--1058_2350_1000;none;202307280000;202307310630;2;100
0090018000_08062023010652;0043339700;;0090018000;X1;829013154R;ECM---0560;7;2350;1000;950;272,592;45;GERB--1058_2350_1000;none;202307310000;202308011215;2;100
0090018000_08062023012386;0043339700;;0090018000;X1;809015570R;ECM---0560;1;2350;1000;950;271,360;45;GERB--1058_2350_1000;none;202307280000;202307310630;2;100
0090018000_08062023012443;0043339700;;0090018000;X1;809010183R;ECM---0560;2;2350;1000;950;286,656;45;GERB--1058_2350_1000;none;202307280000;202307310630;3;100
0090018000_08062023012979;0043339700;;0090018000;X1;829015080R;ECM---0560;1;2350;1000;950;264,880;45;GERB--1058_2350_1000;none;202307280000;202307311255;2;100
0090018000_08062023013808;0043339700;;0090018000;X1;829002938R;ECM---0560;3;2350;1000;950;264,880;45;GERB--1058_2350_1000;none;202307310000;202308011215;2;100
