Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0090018000_08062023000457;P212738701;P212738701_1;A1;0;0;0 ;1000 ;2350 ;950
0090018000_08062023000457;P212738701;P212738701_1;A2;0;0;950 ;1000 ;2350 ;1855
0090018000_08062023000457;P212738701;P212738701_1;A3;0;0;1855 ;1000 ;2350 ;2760
0090018000_08062023007223;P212738701;P212738701_2;B1;1000;0;0 ;2000 ;2350 ;950
0090018000_08062023007223;P212738701;P212738701_2;B2;1000;0;950 ;2000 ;2350 ;1855
0090018000_08062023007223;P212738701;P212738701_2;B3;1000;0;1855 ;2000 ;2350 ;2760
0090018000_08062023007223;P212738701;P212738701_3;C1;2000;0;0 ;3000 ;2350 ;950
0090018000_08062023007223;P212738701;P212738701_3;C2;2000;0;950 ;3000 ;2350 ;1855
0090018000_08062023007223;P212738701;P212738701_3;C3;2000;0;1855 ;3000 ;2350 ;2760
0090018000_08062023007223;P212738701;P212738701_4;D1;3000;0;0 ;4000 ;2350 ;950
0090018000_08062023007223;P212738701;P212738701_4;D2;3000;0;950 ;4000 ;2350 ;1855
0090018000_08062023007223;P212738701;P212738701_4;D3;3000;0;1855 ;4000 ;2350 ;2760
0090018000_08062023007223;P212738701;P212738701_5;E1;4000;0;0 ;5000 ;2350 ;950
0090018000_08062023007223;P212738701;P212738701_5;E2;4000;0;950 ;5000 ;2350 ;1855
0090018000_08062023007223;P212738701;P212738701_5;E3;4000;0;1855 ;5000 ;2350 ;2760
0090018000_08062023010652;P212738701;P212738701_6;F1;5000;0;0 ;6000 ;2350 ;950
0090018000_08062023010652;P212738701;P212738701_6;F2;5000;0;950 ;6000 ;2350 ;1855
0090018000_08062023010652;P212738701;P212738701_6;F3;5000;0;1855 ;6000 ;2350 ;2760
0090018000_08062023010652;P212738701;P212738701_7;G1;6000;0;0 ;7000 ;2350 ;950
0090018000_08062023010652;P212738701;P212738701_7;G2;6000;0;950 ;7000 ;2350 ;1855
0090018000_08062023010652;P212738701;P212738701_7;G3;6000;0;1855 ;7000 ;2350 ;2760
0090018000_08062023013808;P212738701;P212738701_8;H1;7000;0;0 ;8000 ;2350 ;950
0090018000_08062023010652;P212738701;P212738701_8;H2;7000;0;950 ;8000 ;2350 ;1855
0090018000_08062023013808;P212738701;P212738701_8;H3;7000;0;1855 ;8000 ;2350 ;2760
0090018000_08062023002765;P212738701;P212738701_9;I1;8000;0;0 ;9000 ;2350 ;950
0090018000_08062023013808;P212738701;P212738701_9;I2;8000;0;950 ;9000 ;2350 ;1855
0090018000_08062023002765;P212738701;P212738701_9;I3;8000;0;1855 ;9000 ;2350 ;2760
0090018000_08062023002765;P212738701;P212738701_10;J1;9000;0;0 ;10000 ;2350 ;950
0090018000_08062023002765;P212738701;P212738701_10;J2;9000;0;950 ;10000 ;2350 ;1855
0090018000_08062023002765;P212738701;P212738701_10;J3;9000;0;1855 ;10000 ;2350 ;2760
0090018000_08062023003683;P212738701;P212738701_11;K1;10000;0;0 ;11000 ;2350 ;950
0090018000_08062023003683;P212738701;P212738701_11;K2;10000;0;950 ;11000 ;2350 ;1855
0090018000_08062023012979;P212738701;P212738701_11;K3;10000;0;1855 ;11000 ;2350 ;2760
0090018000_08062023004918;P212738701;P212738701_12;L1;11000;0;0 ;12000 ;2350 ;950
0090018000_08062023004918;P212738701;P212738701_12;L2;11000;0;950 ;12000 ;2350 ;1855
0090018000_08062023012443;P212738701;P212738701_12;L3;11000;0;1855 ;12000 ;2350 ;2760
0090018000_08062023008307;P212738701;P212738701_13;M1;12000;0;0 ;13000 ;2350 ;950
0090018000_08062023012443;P212738701;P212738701_13;M2;12000;0;950 ;13000 ;2350 ;1855
0090018000_08062023008307;P212738701;P212738701_13;M3;12000;0;1855 ;13000 ;2350 ;2760
0090018000_08062023002889;P212738701;P212738701_14;N1;13000;0;0 ;14000 ;2350 ;950
0090018000_08062023002889;P212738701;P212738701_14;N2;13000;0;950 ;14000 ;2350 ;1855
0090018000_08062023012386;P212738701;P212738701_14;N3;13000;0;1855 ;14000 ;2350 ;2760
