Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P212738701;P212738701_1;A;0;0;0;1000;2350;2760
P212738701;P212738701_2;B;1000;0;0;2000;2350;2760
P212738701;P212738701_3;C;2000;0;0;3000;2350;2760
P212738701;P212738701_4;D;3000;0;0;4000;2350;2760
P212738701;P212738701_5;E;4000;0;0;5000;2350;2760
P212738701;P212738701_6;F;5000;0;0;6000;2350;2760
P212738701;P212738701_7;G;6000;0;0;7000;2350;2760
P212738701;P212738701_8;H;7000;0;0;8000;2350;2760
P212738701;P212738701_9;I;8000;0;0;9000;2350;2760
P212738701;P212738701_10;J;9000;0;0;10000;2350;2760
P212738701;P212738701_11;K;10000;0;0;11000;2350;2760
P212738701;P212738701_12;L;11000;0;0;12000;2350;2760
P212738701;P212738701_13;M;12000;0;0;13000;2350;2760
P212738701;P212738701_14;N;13000;0;0;14000;2350;2760
