Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090018000_08062023004500;P213752701;P213752701_1;A1;0;0;0 ;1605 ;1205 ;1450
0090018000_08062023004500;P213752701;P213752701_1;A2;0;0;1450 ;1605 ;1205 ;2855
0090018000_08062023007379;P213752701;P213752701_2;B1;0;1300;0 ;1000 ;2500 ;975
0090018000_08062023007379;P213752701;P213752701_2;B2;0;1300;975 ;1000 ;2500 ;1905
0090018000_08062023007379;P213752701;P213752701_2;B3;0;1300;1905 ;1000 ;2500 ;2835
0090018000_08062023007379;P213752701;P213752701_3;C1;1000;1300;0 ;2000 ;2500 ;975
0090018000_08062023007379;P213752701;P213752701_3;C2;1000;1300;975 ;2000 ;2500 ;1905
0090018000_08062023007379;P213752701;P213752701_3;C3;1000;1300;1905 ;2000 ;2500 ;2835
0090018000_08062023003719;P213752701;P213752701_4;D1;1605;0;0 ;2605 ;1200 ;975
0090018000_08062023003719;P213752701;P213752701_4;D2;1605;0;975 ;2605 ;1200 ;1905
0090018000_08062023003719;P213752701;P213752701_4;D3;1605;0;1905 ;2605 ;1200 ;2835
0090018000_08062023003719;P213752701;P213752701_5;E1;2000;1300;0 ;3000 ;2500 ;975
0090018000_08062023003719;P213752701;P213752701_5;E2;2000;1300;975 ;3000 ;2500 ;1905
0090018000_08062023003719;P213752701;P213752701_5;E3;2000;1300;1905 ;3000 ;2500 ;2835
0090018000_08062023008321;P213752701;P213752701_6;F1;2605;0;0 ;3605 ;1200 ;750
0090018000_08062023008321;P213752701;P213752701_6;F2;2605;0;750 ;3605 ;1200 ;1455
0090018000_08062023003514;P213752701;P213752701_6;F3;2605;0;1455 ;3605 ;1200 ;2385
0090018000_08062023003514;P213752701;P213752701_7;G1;3000;1300;0 ;4000 ;2500 ;975
0090018000_08062023003514;P213752701;P213752701_7;G2;3000;1300;975 ;4000 ;2500 ;1905
0090018000_08062023008865;P213752701;P213752701_7;G3;3000;1300;1905 ;4000 ;2500 ;2835
0090018000_08062023003738;P213752701;P213752701_8;H1;3605;0;0 ;4605 ;1200 ;1057
0090018000_08062023013981;P213752701;P213752701_8;H2;3605;0;1057 ;4605 ;1200 ;2114
0090018000_08062023013360;P213752701;P213752701_8;H3;3605;0;2114 ;4605 ;1200 ;2573
0090018000_08062023007945;P213752701;P213752701_8;H4;3605;0;2573 ;4605 ;1200 ;2932
0090018000_08062023008865;P213752701;P213752701_9;I1;4000;1300;0 ;5000 ;2500 ;975
0090018000_08062023008865;P213752701;P213752701_9;I2;4000;1300;975 ;5000 ;2500 ;1905
0090018000_08062023008865;P213752701;P213752701_9;I3;4000;1300;1905 ;5000 ;2500 ;2835
0090018000_08062023010314;P213752701;P213752701_10;J1;4605;0;0 ;5605 ;1200 ;975
0090018000_08062023008865;P213752701;P213752701_10;J2;4605;0;975 ;5605 ;1200 ;1905
0090018000_08062023013724;P213752701;P213752701_10;J3;4605;0;1905 ;5605 ;1200 ;2835
0090018000_08062023004036;P213752701;P213752701_11;K1;5000;1300;0 ;6000 ;2500 ;930
0090018000_08062023004036;P213752701;P213752701_11;K2;5000;1300;930 ;6000 ;2500 ;1815
0090018000_08062023004036;P213752701;P213752701_11;K3;5000;1300;1815 ;6000 ;2500 ;2700
0090018000_08062023013724;P213752701;P213752701_12;L1;5605;0;0 ;6605 ;1200 ;975
0090018000_08062023004036;P213752701;P213752701_12;L2;5605;0;975 ;6605 ;1200 ;1860
0090018000_08062023012768;P213752701;P213752701_12;L3;5605;0;1860 ;6605 ;1200 ;2790
0090018000_08062023006979;P213752701;P213752701_13;M1;6000;1300;0 ;7000 ;2500 ;1057
0090018000_08062023013174;P213752701;P213752701_13;M2;6000;1300;1057 ;7000 ;2500 ;2114
0090018000_08062023004972;P213752701;P213752701_13;M3;6000;1300;2114 ;7000 ;2500 ;2573
0090018000_08062023012069;P213752701;P213752701_13;M4;6000;1300;2573 ;7000 ;2500 ;2932
0090018000_08062023012997;P213752701;P213752701_14;N1;6605;0;0 ;7605 ;1200 ;930
0090018000_08062023012997;P213752701;P213752701_14;N2;6605;0;930 ;7605 ;1200 ;1815
0090018000_08062023012997;P213752701;P213752701_14;N3;6605;0;1815 ;7605 ;1200 ;2700
0090018000_08062023012997;P213752701;P213752701_15;O1;7000;1300;0 ;8000 ;2500 ;930
0090018000_08062023012997;P213752701;P213752701_15;O2;7000;1300;930 ;8000 ;2500 ;1815
0090018000_08062023012997;P213752701;P213752701_15;O3;7000;1300;1815 ;8000 ;2500 ;2700
0090018000_08062023012768;P213752701;P213752701_16;P1;7605;0;0 ;8605 ;1200 ;975
0090018000_08062023012768;P213752701;P213752701_16;P2;7605;0;975 ;8605 ;1200 ;1905
0090018000_08062023012768;P213752701;P213752701_16;P3;7605;0;1905 ;8605 ;1200 ;2835
0090018000_08062023012768;P213752701;P213752701_17;Q1;8000;1300;0 ;9000 ;2500 ;975
0090018000_08062023012768;P213752701;P213752701_17;Q2;8000;1300;975 ;9000 ;2500 ;1905
0090018000_08062023006171;P213752701;P213752701_17;Q3;8000;1300;1905 ;9000 ;2500 ;2835
0090018000_08062023006171;P213752701;P213752701_18;R1;8605;0;0 ;9605 ;1200 ;975
0090018000_08062023006171;P213752701;P213752701_18;R2;8605;0;975 ;9605 ;1200 ;1905
0090018000_08062023006171;P213752701;P213752701_18;R3;8605;0;1905 ;9605 ;1200 ;2835
0090018000_08062023006171;P213752701;P213752701_19;S1;9000;1300;0 ;10000 ;2500 ;975
0090018000_08062023006171;P213752701;P213752701_19;S2;9000;1300;975 ;10000 ;2500 ;1905
0090018000_08062023006171;P213752701;P213752701_19;S3;9000;1300;1905 ;10000 ;2500 ;2835
0090018000_08062023006171;P213752701;P213752701_20;T1;9605;0;0 ;10605 ;1200 ;975
0090018000_08062023006171;P213752701;P213752701_20;T2;9605;0;975 ;10605 ;1200 ;1905
0090018000_08062023006171;P213752701;P213752701_20;T3;9605;0;1905 ;10605 ;1200 ;2835
0090018000_08062023006171;P213752701;P213752701_21;U1;10000;1300;0 ;11000 ;2500 ;975
0090018000_08062023006171;P213752701;P213752701_21;U2;10000;1300;975 ;11000 ;2500 ;1905
0090018000_08062023006171;P213752701;P213752701_21;U3;10000;1300;1905 ;11000 ;2500 ;2835
