Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P209069015;P209069015_1;A;0;0;0;1200;2400;2460
P209069015;P209069015_2;B;1200;0;0;2400;2400;2460
P209069015;P209069015_3;C;2400;0;0;3600;2400;2460
P209069015;P209069015_4;D;3600;1240;0;5600;2440;2875
P209069015;P209069015_5;E;3600;0;0;5600;1200;2875
P209069015;P209069015_6;F;5600;0;0;7600;1200;2875
P209069015;P209069015_7;G;5600;1240;0;7600;2440;2875
P209069015;P209069015_8;H;7600;1240;0;9600;2440;2875
P209069015;P209069015_9;I;7600;0;0;9600;1200;2875
P209069015;P209069015_10;J;9600;0;0;11600;1200;2875
P209069015;P209069015_11;K;9600;1240;0;11600;2440;2875
P209069015;P209069015_12;L;11600;0;0;12800;2000;2875
