Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090016900_08062023007084;0001925700;;0090016900;GRF1;682110116R;KFDA--0045;1;1209;1007;750;74,474;25;GERB--2034_1209_1007;none;202307060000;202307110650;3;100
0090016900_08062023007961;0001925700;;0090016900;GRF1;685002697R;SFDA--0129;4;1600;1200;750;174,800;45;GERB--1613_1600_1200;none;202307060000;202307110650;4;100
0090016900_08062023011766;0001925700;;0090016900;GRF1;685002697R;SFDA--0129;4;1600;1200;750;174,800;45;GERB--1613_1600_1200;none;202307060000;202307111110;4;100
0090016900_08062023014155;0001925700;;0090016900;GRF1;682116715R;SFDA--9767;1;1200;1000;975;146,300;45;GERB--1213_1200_1000;none;202307060000;202307110650;3;100
0090016900_08062023020660;0001925700;;0090016900;GRF1;682605388R;KFDA--0046;1;1209;1007;750;81,464;25;GERB--2034_1209_1007;none;202307060000;202307110650;5;100
0090016900_08062023020790;0001925700;;0090016900;GRF1;685006535R;SFDA--0129;4;1600;1200;750;152,610;45;GERB--1613_1600_1200;none;202307060000;202307111110;2;100
0090016900_08062023027034;0001925700;;0090016900;GRF1;280389738R;SLI---0601;1;1200;1000;750;113,428;45;GERB--1213_1200_1000;none;202307060000;202307110650;3;100
0090016900_08062023029658;0001925700;;0090016900;GRF1;685006535R;SFDA--0129;4;1600;1200;750;152,610;45;GERB--1613_1600_1200;none;202307060000;202307110650;2;100
0090016900_08062023030247;0001925700;;0090016900;GRF1;681E24103R;KFDA--0050;1;1209;1007;750;193,324;25;GERB--2034_1209_1007;none;202307060000;202307110650;16;100
0090016900_08062023033559;0001925700;;0090016900;GRF1;682113679R;KFDA--0045;1;1209;1007;750;76,127;25;GERB--2034_1209_1007;none;202307060000;202307110650;3;100
0090016900_08062023036061;0001925700;;0090016900;GRF1;682003577R;ECM---6632;5;2400;2100;1490;518,600;45;GERB--1391_2400_2100;none;202307060000;202307110650;7;100
0090016900_08062023036125;0001925700;;0090016900;GRF1;682000947R;ECM---6632;3;2400;2100;1490;518,600;45;GERB--1391_2400_2100;none;202307060000;202307110650;9;100
0090016900_08062023036287;0001925700;;0090016900;GRF1;682103939R;KFDA--0048;1;1209;1007;750;98,141;25;GERB--2034_1209_1007;none;202307060000;202307111110;8;100
0090016900_08062023038023;0001925700;;0090016900;GRF1;682603805R;KFDA--0051;1;1209;1007;750;65,980;25;GERB--2034_1209_1007;none;202307060000;202307110650;6;100
0090016900_08062023039535;0001925700;;0090016900;GRF1;681014127R;SFDA--9637;2;1200;1000;975;138,406;45;GERB--1213_1200_1000;none;202307060000;202307110650;3;100
0090016900_08062023041562;0001925700;;0090016900;GRF1;682110116R;KFDA--0045;1;1209;1007;750;74,474;25;GERB--2034_1209_1007;none;202307060000;202307111110;3;100
0090016900_08062023044980;0001925700;;0090016900;GRF1;681325282R;SLI---0770;1;1200;1000;975;153,960;45;GERB--1213_1200_1000;none;202307060000;202307110650;3;100
