Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0090016900_08062023036287;P192065807;P192065807_1;A1;0;0;0 ;1007 ;1209 ;750
0090016900_08062023041562;P192065807;P192065807_1;A2;0;0;750 ;1007 ;1209 ;1475
0090016900_08062023038023;P192065807;P192065807_1;A3;0;0;1475 ;1007 ;1209 ;2200
0090016900_08062023033559;P192065807;P192065807_1;A4;0;0;2200 ;1007 ;1209 ;2925
0090016900_08062023020790;P192065807;P192065807_2;B1;0;1240;0 ;1600 ;2440 ;750
0090016900_08062023020790;P192065807;P192065807_2;B2;0;1240;750 ;1600 ;2440 ;1455
0090016900_08062023020790;P192065807;P192065807_2;B3;0;1240;1455 ;1600 ;2440 ;2160
0090016900_08062023020790;P192065807;P192065807_2;B4;0;1240;2160 ;1600 ;2440 ;2865
0090016900_08062023011766;P192065807;P192065807_3;C1;1007;0;0 ;2607 ;1200 ;750
0090016900_08062023011766;P192065807;P192065807_3;C2;1007;0;750 ;2607 ;1200 ;1455
0090016900_08062023011766;P192065807;P192065807_3;C3;1007;0;1455 ;2607 ;1200 ;2160
0090016900_08062023011766;P192065807;P192065807_3;C4;1007;0;2160 ;2607 ;1200 ;2865
0090016900_08062023039535;P192065807;P192065807_4;D1;1600;1240;0 ;2600 ;2440 ;975
0090016900_08062023039535;P192065807;P192065807_4;D2;1600;1240;975 ;2600 ;2440 ;1905
0090016900_08062023014155;P192065807;P192065807_4;D3;1600;1240;1905 ;2600 ;2440 ;2835
0090016900_08062023007084;P192065807;P192065807_5;E1;2600;1231;0 ;3607 ;2440 ;750
0090016900_08062023020660;P192065807;P192065807_5;E2;2600;1231;750 ;3607 ;2440 ;1475
0090016900_08062023030247;P192065807;P192065807_5;E3;2600;1231;1475 ;3607 ;2440 ;2200
0090016900_08062023044980;P192065807;P192065807_6;F1;2607;0;0 ;3607 ;1200 ;975
0090016900_08062023027034;P192065807;P192065807_6;F2;2607;0;975 ;3607 ;1200 ;1680
0090016900_08062023036125;P192065807;P192065807_7;G1;3607;0;0 ;5707 ;2400 ;1490
0090016900_08062023036125;P192065807;P192065807_7;G2;3607;0;1490 ;5707 ;2400 ;2935
0090016900_08062023036061;P192065807;P192065807_8;H1;5707;0;0 ;7807 ;2400 ;1490
0090016900_08062023036125;P192065807;P192065807_8;H2;5707;0;1490 ;7807 ;2400 ;2935
0090016900_08062023036061;P192065807;P192065807_9;I1;7807;0;0 ;9907 ;2400 ;1490
0090016900_08062023036061;P192065807;P192065807_9;I2;7807;0;1490 ;9907 ;2400 ;2935
0090016900_08062023036061;P192065807;P192065807_10;J1;9907;0;0 ;12007 ;2400 ;1490
0090016900_08062023036061;P192065807;P192065807_10;J2;9907;0;1490 ;12007 ;2400 ;2935
0090016900_08062023007961;P192065807;P192065807_11;K1;12007;0;0 ;13207 ;1600 ;750
0090016900_08062023007961;P192065807;P192065807_11;K2;12007;0;750 ;13207 ;1600 ;1455
0090016900_08062023007961;P192065807;P192065807_11;K3;12007;0;1455 ;13207 ;1600 ;2160
0090016900_08062023007961;P192065807;P192065807_11;K4;12007;0;2160 ;13207 ;1600 ;2865
