Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P206065813;P206065813_1;A;0;1240;0;1600;2440;2865
P206065813;P206065813_2;B;0;0;0;1007;1209;2925
P206065813;P206065813_3;C;1007;0;0;2607;1200;2865
P206065813;P206065813_4;D;1600;1240;0;2600;2440;2835
P206065813;P206065813_5;E;2600;1240;0;3600;2440;2835
P206065813;P206065813_6;F;2607;0;0;3607;1200;2835
P206065813;P206065813_7;G;3600;1231;0;4607;2440;2200
P206065813;P206065813_8;H;3607;0;0;4607;1200;1680
P206065813;P206065813_9;I;4607;0;0;6707;2400;2935
P206065813;P206065813_10;J;6707;0;0;8807;2400;2935
P206065813;P206065813_11;K;8807;0;0;10907;2400;2935
P206065813;P206065813_12;L;10907;0;0;13007;2400;2935
