Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090016900_14062023003525;P199065813;P199065813_1;A1;0;0;0 ;1007 ;1209 ;750
0090016900_14062023020921;P199065813;P199065813_1;A2;0;0;750 ;1007 ;1209 ;1475
0090016900_14062023025265;P199065813;P199065813_1;A3;0;0;1475 ;1007 ;1209 ;2200
0090016900_14062023014916;P199065813;P199065813_1;A4;0;0;2200 ;1007 ;1209 ;2925
0090016900_14062023014213;P199065813;P199065813_2;B1;0;1240;0 ;1600 ;2440 ;750
0090016900_14062023014213;P199065813;P199065813_2;B2;0;1240;750 ;1600 ;2440 ;1455
0090016900_14062023014213;P199065813;P199065813_2;B3;0;1240;1455 ;1600 ;2440 ;2160
0090016900_14062023014213;P199065813;P199065813_2;B4;0;1240;2160 ;1600 ;2440 ;2865
0090016900_14062023013033;P199065813;P199065813_3;C1;1007;0;0 ;2007 ;1200 ;975
0090016900_14062023013033;P199065813;P199065813_3;C2;1007;0;975 ;2007 ;1200 ;1905
0090016900_14062023001231;P199065813;P199065813_3;C3;1007;0;1905 ;2007 ;1200 ;2835
0090016900_14062023009301;P199065813;P199065813_4;D1;1600;1240;0 ;3200 ;2440 ;750
0090016900_14062023009301;P199065813;P199065813_4;D2;1600;1240;750 ;3200 ;2440 ;1455
0090016900_14062023009301;P199065813;P199065813_4;D3;1600;1240;1455 ;3200 ;2440 ;2160
0090016900_14062023009301;P199065813;P199065813_4;D4;1600;1240;2160 ;3200 ;2440 ;2865
0090016900_14062023001231;P199065813;P199065813_5;E1;2007;0;0 ;3007 ;1200 ;975
0090016900_14062023025995;P199065813;P199065813_5;E2;2007;0;975 ;3007 ;1200 ;1680
0090016900_14062023010619;P199065813;P199065813_5;E3;2007;0;1680 ;3007 ;1200 ;2610
0090016900_14062023029330;P199065813;P199065813_6;F1;3007;0;0 ;4014 ;1209 ;750
0090016900_14062023013206;P199065813;P199065813_6;F2;3007;0;750 ;4014 ;1209 ;1475
0090016900_14062023023158;P199065813;P199065813_7;G1;3200;1240;0 ;4800 ;2440 ;750
0090016900_14062023023158;P199065813;P199065813_7;G2;3200;1240;750 ;4800 ;2440 ;1455
0090016900_14062023026599;P199065813;P199065813_8;H1;4800;0;0 ;6900 ;2400 ;1490
0090016900_14062023004484;P199065813;P199065813_8;H2;4800;0;1490 ;6900 ;2400 ;2935
0090016900_14062023018702;P199065813;P199065813_9;I1;6900;0;0 ;9000 ;2400 ;1490
0090016900_14062023018702;P199065813;P199065813_9;I2;6900;0;1490 ;9000 ;2400 ;2935
0090016900_14062023018702;P199065813;P199065813_10;J1;9000;0;0 ;11100 ;2400 ;1490
0090016900_14062023018702;P199065813;P199065813_10;J2;9000;0;1490 ;11100 ;2400 ;2935
0090016900_14062023018702;P199065813;P199065813_11;K1;11100;0;0 ;13500 ;2100 ;1490
0090016900_14062023018702;P199065813;P199065813_11;K2;11100;0;1490 ;13500 ;2100 ;2935
