Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P191039403;P191039403_1;A;0;0;0;1675;1200;2855
P191039403;P191039403_2;B;0;1240;0;1675;2440;2855
P191039403;P191039403_3;C;1675;1240;0;3350;2440;2855
P191039403;P191039403_4;D;1675;0;0;2685;1206;2782
P191039403;P191039403_5;E;2685;0;0;4360;1200;2855
P191039403;P191039403_6;F;3350;1240;0;5025;2440;2855
P191039403;P191039403_7;G;4360;0;0;6035;1200;2855
P191039403;P191039403_8;H;5025;1240;0;6700;2440;2855
P191039403;P191039403_9;I;6035;0;0;7710;1200;2855
P191039403;P191039403_10;J;6700;1240;0;8375;2440;2855
P191039403;P191039403_11;K;7710;0;0;9385;1200;2855
P191039403;P191039403_12;L;8375;1240;0;10050;2440;2855
P191039403;P191039403_13;M;9385;0;0;11060;1200;2855
P191039403;P191039403_14;N;10050;1240;0;11725;2440;2855
P191039403;P191039403_15;O;11060;0;0;12735;1200;2855
P191039403;P191039403_16;P;11725;1240;0;13400;2440;1450
