Supplier code;Supplier loading order;Supplier dock;Supplier dock loading order;Plant code;Plant dock;Plant dock loading order;Product code;Arrival time;Id truck;Length;Width;Height;Max weight;Stack with multiple docks;Max density;Max weight on the bottom item in stacks;Cost;EMmm;EMmr;CM;CJfm;CJfc;CJfh;EM;EJhr;EJcr;EJeh
0000239401;2;;2;0090016200;G034E;2;684201331R;202307191445;P200131101;13500;2440;2900;25000;0;1500;100000;1500;11500;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0000239401;2;;2;0090016200;G034E;2;684213802R;202307191445;P200131101;13500;2440;2900;25000;0;1500;100000;1500;11500;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0000239401;2;;2;0090016200;G034E;2;281261306R;202307191445;P200131101;13500;2440;2900;25000;0;1500;100000;1500;11500;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0000239401;2;;2;0090016200;G014B1;1;684217079R;202307191445;P200131101;13500;2440;2900;25000;0;1500;100000;1500;11500;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0000239401;2;;2;0090016200;G034E;2;683108402R;202307191445;P200131101;13500;2440;2900;25000;0;1500;100000;1500;11500;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0005965102;1;;1;0090016200;G034E;2;806820580R;202307191445;P200131101;13500;2440;2900;25000;0;1500;100000;1500;11500;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0000239401;2;;2;0090016200;G014B1;1;683102443R;202307191445;P200131101;13500;2440;2900;25000;0;1500;100000;1500;11500;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0000239401;2;;2;0090016200;G034E;2;684216390R;202307191445;P200131101;13500;2440;2900;25000;0;1500;100000;1500;11500;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0000239401;2;;2;0090016200;G034E;2;682603215R;202307191445;P200131101;13500;2440;2900;25000;0;1500;100000;1500;11500;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0000239401;2;;2;0090016200;G014B1;1;684219906R;202307191445;P200131101;13500;2440;2900;25000;0;1500;100000;1500;11500;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0000239401;2;;2;0090016200;G034E;2;682603388R;202307191445;P200131101;13500;2440;2900;25000;0;1500;100000;1500;11500;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0000239401;2;;2;0090016200;G014B1;1;684124873R;202307191445;P200131101;13500;2440;2900;25000;0;1500;100000;1500;11500;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0000239401;2;;2;0090016200;G034E;2;684213126R;202307191445;P200131101;13500;2440;2900;25000;0;1500;100000;1500;11500;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0000239401;2;;2;0090016200;G014B1;1;969364160R;202307191445;P200131101;13500;2440;2900;25000;0;1500;100000;1500;11500;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0000239401;2;;2;0090016200;G014B1;1;848104047R;202307191445;P200131101;13500;2440;2900;25000;0;1500;100000;1500;11500;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
0000239401;2;;2;0090016200;G034E;2;848109573R;202307191445;P200131101;13500;2440;2900;25000;0;1500;100000;1500;11500;31500;7808,000;3800;1040;3330;7300,000;7630;2350;1670
