Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P179038701;P179038701_1;A;0;0;0;1000;1200;2835
P179038701;P179038701_2;B;0;1240;0;1000;2440;2835
P179038701;P179038701_3;C;1000;1240;0;2000;2440;2835
P179038701;P179038701_4;D;1000;0;0;2000;1200;2835
P179038701;P179038701_5;E;2000;0;0;3000;1200;2835
P179038701;P179038701_6;F;2000;1234;0;3010;2440;2649
P179038701;P179038701_7;G;3000;0;0;4010;1206;2551
P179038701;P179038701_8;H;3010;1234;0;4020;2440;2264
P179038701;P179038701_9;I;4010;0;0;5010;1200;2835
P179038701;P179038701_10;J;4020;1234;0;5030;2440;2362
P179038701;P179038701_11;K;5010;0;0;6010;1200;2835
P179038701;P179038701_12;L;5030;1240;0;6030;2440;2835
P179038701;P179038701_13;M;6010;0;0;7010;1200;2835
P179038701;P179038701_14;N;6030;1240;0;7030;2440;2835
P179038701;P179038701_15;O;7010;0;0;8010;1200;2835
P179038701;P179038701_16;P;7030;1234;0;8040;2440;2166
P179038701;P179038701_17;Q;8010;0;0;9010;1200;2835
P179038701;P179038701_18;R;8040;1240;0;9040;2440;2835
P179038701;P179038701_19;S;9010;0;0;10020;1206;2166
P179038701;P179038701_20;T;9040;1234;0;10050;2440;2166
P179038701;P179038701_21;U;10020;0;0;11030;1206;2264
P179038701;P179038701_22;V;10050;1234;0;11060;2440;2362
P179038701;P179038701_23;W;11030;0;0;12040;1206;2264
P179038701;P179038701_24;X;11060;1240;0;12060;2440;2835
P179038701;P179038701_25;Y;12040;0;0;13050;1206;2166
P179038701;P179038701_26;Z;12060;1234;0;13070;2440;2362
