Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0090016200_08062023010499;P188209711;P188209711_1;A1;0;620;0 ;1000 ;1820 ;975
0090016200_08062023010499;P188209711;P188209711_2;B1;1000;1240;0 ;2000 ;2440 ;975
0090016200_08062023010499;P188209711;P188209711_3;C1;1000;0;0 ;2000 ;1200 ;975
0090016200_08062023010499;P188209711;P188209711_4;D1;2000;620;0 ;3000 ;1820 ;975
0090016200_08062023016148;P188209711;P188209711_5;E1;3000;1240;0 ;4000 ;2440 ;975
0090016200_08062023016148;P188209711;P188209711_6;F1;3000;0;0 ;4000 ;1200 ;975
0090016200_08062023001445;P188209711;P188209711_7;G1;4000;0;0 ;5000 ;1200 ;975
0090016200_08062023001445;P188209711;P188209711_8;H1;4000;1240;0 ;5000 ;2440 ;975
0090016200_08062023016671;P188209711;P188209711_9;I1;5000;1240;0 ;6000 ;2440 ;975
0090016200_08062023016671;P188209711;P188209711_10;J1;5000;0;0 ;6000 ;1200 ;975
0090016200_08062023019330;P188209711;P188209711_11;K1;6000;0;0 ;7000 ;1200 ;975
0090016200_08062023019330;P188209711;P188209711_12;L1;6000;1240;0 ;7000 ;2440 ;975
0090016200_08062023024168;P188209711;P188209711_13;M1;7000;1240;0 ;8900 ;2440 ;750
0090016200_08062023024168;P188209711;P188209711_13;M2;7000;1240;750 ;8900 ;2440 ;1455
0090016200_08062023031514;P188209711;P188209711_13;M3;7000;1240;1455 ;8900 ;2440 ;2160
0090016200_08062023031514;P188209711;P188209711_13;M4;7000;1240;2160 ;8900 ;2440 ;2865
0090016200_08062023018965;P188209711;P188209711_14;N1;7000;0;0 ;8600 ;1200 ;930
0090016200_08062023018965;P188209711;P188209711_14;N2;7000;0;930 ;8600 ;1200 ;1815
0090016200_08062023018965;P188209711;P188209711_14;N3;7000;0;1815 ;8600 ;1200 ;2700
0090016200_08062023018965;P188209711;P188209711_15;O1;8600;0;0 ;10200 ;1200 ;930
0090016200_08062023018965;P188209711;P188209711_15;O2;8600;0;930 ;10200 ;1200 ;1815
0090016200_08062023025659;P188209711;P188209711_15;O3;8600;0;1815 ;10200 ;1200 ;2700
0090016200_08062023031514;P188209711;P188209711_16;P1;8900;1240;0 ;10800 ;2440 ;750
0090016200_08062023031514;P188209711;P188209711_16;P2;8900;1240;750 ;10800 ;2440 ;1455
0090016200_08062023031514;P188209711;P188209711_16;P3;8900;1240;1455 ;10800 ;2440 ;2160
0090016200_08062023031514;P188209711;P188209711_16;P4;8900;1240;2160 ;10800 ;2440 ;2865
0090016200_08062023031514;P188209711;P188209711_17;Q1;10200;0;0 ;12100 ;1200 ;750
0090016200_08062023031514;P188209711;P188209711_17;Q2;10200;0;750 ;12100 ;1200 ;1455
0090016200_08062023031514;P188209711;P188209711_17;Q3;10200;0;1455 ;12100 ;1200 ;2160
0090016200_08062023031514;P188209711;P188209711_17;Q4;10200;0;2160 ;12100 ;1200 ;2865
0090016200_08062023019250;P188209711;P188209711_18;R1;10800;1240;0 ;12400 ;2440 ;930
0090016200_08062023029348;P188209711;P188209711_18;R2;10800;1240;930 ;12400 ;2440 ;1815
0090016200_08062023019250;P188209711;P188209711_18;R3;10800;1240;1815 ;12400 ;2440 ;2700
0090016200_08062023025703;P188209711;P188209711_19;S1;12100;0;0 ;13100 ;1200 ;975
0090016200_08062023025703;P188209711;P188209711_19;S2;12100;0;975 ;13100 ;1200 ;1905
