Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090016200_08062023030883;P206291501;P206291501_1;A1;0;620;0 ;1000 ;1820 ;895
0090016200_08062023008940;P206291501;P206291501_2;B1;1000;1234;0 ;2010 ;2440 ;385
0090016200_08062023024936;P206291501;P206291501_2;B2;1000;1234;385 ;2010 ;2440 ;770
0090016200_08062023024615;P206291501;P206291501_2;B3;1000;1234;770 ;2010 ;2440 ;1555
0090016200_08062023005200;P206291501;P206291501_2;B4;1000;1234;1555 ;2010 ;2440 ;1940
0090016200_08062023019826;P206291501;P206291501_2;B5;1000;1234;1940 ;2010 ;2440 ;2525
0090016200_08062023031249;P206291501;P206291501_3;C1;1000;0;0 ;2010 ;1206 ;385
0090016200_08062023013125;P206291501;P206291501_3;C2;1000;0;385 ;2010 ;1206 ;770
0090016200_08062023031599;P206291501;P206291501_3;C3;1000;0;770 ;2010 ;1206 ;1155
0090016200_08062023031599;P206291501;P206291501_3;C4;1000;0;1155 ;2010 ;1206 ;1540
0090016200_08062023027479;P206291501;P206291501_3;C5;1000;0;1540 ;2010 ;1206 ;2525
0090016200_08062023025586;P206291501;P206291501_4;D1;2010;820;0 ;3210 ;1620 ;740
0090016200_08062023025586;P206291501;P206291501_5;E1;3210;1620;0 ;4410 ;2420 ;740
0090016200_08062023025586;P206291501;P206291501_6;F1;3210;820;0 ;4410 ;1620 ;740
0090016200_08062023025586;P206291501;P206291501_7;G1;4410;1640;0 ;5610 ;2440 ;740
0090016200_08062023025586;P206291501;P206291501_8;H1;4410;840;0 ;5610 ;1640 ;740
0090016200_08062023025586;P206291501;P206291501_9;I1;4410;40;0 ;5610 ;840 ;740
0090016200_08062023025586;P206291501;P206291501_10;J1;5610;1640;0 ;6810 ;2440 ;740
0090016200_08062023025586;P206291501;P206291501_11;K1;5610;0;0 ;6810 ;800 ;740
0090016200_08062023025586;P206291501;P206291501_12;L1;5610;800;0 ;6810 ;1600 ;740
0090016200_08062023025586;P206291501;P206291501_13;M1;6810;0;0 ;8010 ;800 ;740
0090016200_08062023025586;P206291501;P206291501_14;N1;6810;800;0 ;8010 ;1600 ;740
0090016200_08062023025586;P206291501;P206291501_15;O1;6810;1640;0 ;8010 ;2440 ;740
0090016200_08062023025586;P206291501;P206291501_16;P1;8010;1640;0 ;9210 ;2440 ;740
0090016200_08062023025586;P206291501;P206291501_17;Q1;8010;0;0 ;9210 ;800 ;740
0090016200_08062023025586;P206291501;P206291501_18;R1;8010;800;0 ;9210 ;1600 ;740
0090016200_08062023025586;P206291501;P206291501_19;S1;9210;0;0 ;10410 ;800 ;740
0090016200_08062023015056;P206291501;P206291501_20;T1;9210;1234;0 ;10220 ;2440 ;1085
0090016200_08062023020084;P206291501;P206291501_20;T2;9210;1234;1085 ;10220 ;2440 ;2168
0090016200_08062023015056;P206291501;P206291501_21;U1;10220;1234;0 ;11230 ;2440 ;1085
0090016200_08062023015056;P206291501;P206291501_21;U2;10220;1234;1085 ;11230 ;2440 ;2170
0090016200_08062023032911;P206291501;P206291501_22;V1;10410;0;0 ;11420 ;1206 ;1085
0090016200_08062023032911;P206291501;P206291501_22;V2;10410;0;1085 ;11420 ;1206 ;2170
0090016200_08062023024719;P206291501;P206291501_23;W1;11230;1234;0 ;12240 ;2440 ;1083
0090016200_08062023019432;P206291501;P206291501_23;W2;11230;1234;1083 ;12240 ;2440 ;2264
0090016200_08062023016273;P206291501;P206291501_24;X1;11420;0;0 ;12430 ;1206 ;1083
0090016200_08062023016273;P206291501;P206291501_24;X2;11420;0;1083 ;12430 ;1206 ;2166
