Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090016200_14062023000246;0011618300;;0090016200;G034E;295531429R;SLI---0770;4;1200;1000;975;145,860;45;GERB--1213_1200_1000;none;202307250000;202308281945;8;100
0090016200_14062023001485;0011618300;;0090016200;G034E;295543807R;SLI---0770;4;1200;1000;975;135,120;45;GERB--1213_1200_1000;none;202307250000;202308281945;9;100
0090016200_14062023001603;0011618300;;0090016200;G034E;924385769R;SLI---2112;1;1206;1010;1085;174,200;0;GERB--0528_1206_1010;none;202307250000;202308281945;25;100
0090016200_14062023002209;0011618300;;0090016200;G034E;215014582R;SLI---2112;6;1206;1010;1085;110,750;0;GERB--0528_1206_1010;none;202307250000;202308281945;12;100
0090016200_14062023002930;0002888802;;0090016200;G034E;403158467R;SLI---0770;2;1200;1000;975;198,168;45;GERB--1213_1200_1000;none;202307250000;202308281945;9;100
0090016200_14062023003692;0002888802;;0090016200;G034E;403157577R;SLI---2112;1;1206;1010;485;35,560;0;GERB--0528_1206_1010;none;202307250000;202308281945;294;100
0090016200_14062023004230;0011618300;;0090016200;G034E;217418564R;SLI---2112;1;1206;1010;1085;103,400;0;GERB--0528_1206_1010;none;202307250000;202308281945;37;100
0090016200_14062023005020;0011618300;;0090016200;G034E;295Y82024R;SLI---2112;1;1206;1010;485;65,800;0;GERB--0528_1206_1010;none;202307250000;202308281945;46;100
0090016200_14062023008200;0011618300;;0090016200;G034E;924005952R;SLI---2112;1;1206;1010;1085;171,800;0;GERB--0528_1206_1010;none;202307250000;202308281945;44;100
0090016200_14062023008233;0002888802;;0090016200;G034E;403153918R;SLI---0770;4;1200;1000;975;161,200;45;GERB--1213_1200_1000;none;202307250000;202308281945;5;100
0090016200_14062023008304;0011618300;;0090016200;G034E;295532763R;SLI---2112;1;1206;1010;485;64,500;0;GERB--0528_1206_1010;none;202307250000;202308281945;28;100
0090016200_14062023008618;0011618300;;0090016200;G034E;215015609R;SLI---2112;1;1206;1010;1085;167,300;0;GERB--0528_1206_1010;none;202307250000;202308281945;32;100
0090016200_14062023010612;0011618300;;0090016200;G034E;295Y76335R;SLI---2112;1;1206;1010;1085;142,400;0;GERB--0528_1206_1010;none;202307250000;202308281945;21;100
0090016200_14062023011751;0002888802;;0090016200;G034E;403152966R;SLI---0770;6;1200;1000;975;158,600;45;GERB--1213_1200_1000;none;202307250000;202308281945;4;100
0090016200_14062023012262;0011618300;;0090016200;G034E;295M10902R;SLI---2112;2;1206;1010;1085;113,750;0;GERB--0528_1206_1010;none;202307250000;202308281945;10;100
0090016200_14062023012696;0011618300;;0090016200;G034E;217416550R;SLI---2112;1;1206;1010;485;63,315;0;GERB--0528_1206_1010;none;202307250000;202308281945;132;100
0090016200_14062023018655;0011618300;;0090016200;G034E;295M10492R;SLI---2112;3;1206;1010;485;56,750;0;GERB--0528_1206_1010;none;202307250000;202308281945;18;100
0090016200_14062023019708;0002888802;;0090016200;G034E;403150239R;SLI---2112;1;1206;1010;385;30,900;0;GERB--0528_1206_1010;none;202307250000;202308281945;103;100
0090016200_14062023020495;0011618300;;0090016200;G034E;295X43582R;SLI---0770;7;1200;1000;975;149,220;45;GERB--1213_1200_1000;none;202307250000;202308281945;15;100
0090016200_14062023021911;0002888802;;0090016200;G034E;403157112R;SLI---0770;5;1200;1000;975;198,152;45;GERB--1213_1200_1000;none;202307250000;202308281945;8;100
0090016200_14062023022154;0011618300;;0090016200;G034E;217411818R;SLI---2112;2;1206;1010;1085;85,100;0;GERB--0528_1206_1010;none;202307250000;202308281945;22;100
0090016200_14062023022559;0002888802;;0090016200;G034E;403154116R;SLI---0770;5;1200;1000;975;159,944;45;GERB--1213_1200_1000;none;202307250000;202308281945;6;100
0090016200_14062023024243;0011618300;;0090016200;G034E;140532008R;SLI---2112;3;1206;1010;1085;125,300;0;GERB--0528_1206_1010;none;202307250000;202308281945;12;100
0090016200_14062023026325;0011618300;;0090016200;G034E;217416472R;SLI---2112;2;1206;1010;1085;151,100;0;GERB--0528_1206_1010;none;202307250000;202308281945;24;100
0090016200_14062023031302;0011618300;;0090016200;G034E;217417296R;SLI---2112;1;1206;1010;1085;148,850;0;GERB--0528_1206_1010;none;202307250000;202308281945;22;100
0090016200_14062023032481;0011618300;;0090016200;G034E;295544206R;SLI---0901;2;1600;1200;750;136,000;45;GERB--1613_1600_1200;none;202307250000;202308281945;9;100
0090016200_14062023034157;0011618300;;0090016200;G034E;110604003R;SLI---2112;1;1206;1010;1085;138,050;0;GERB--0528_1206_1010;none;202307250000;202308281945;18;100
0090016200_14062023034850;0011618300;;0090016200;G034E;924005269R;SLI---2112;2;1206;1010;1085;121,625;0;GERB--0528_1206_1010;none;202307250000;202308281945;12;100
0090016200_14062023035013;0011618300;;0090016200;G034E;295537814R;SLI---0901;2;1600;1200;750;131,250;45;GERB--1613_1600_1200;none;202307250000;202308281945;8;100
