Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0091017700_08062023000049;0090016500;1GRA;0091017700;177GRF;150100347R;SLI---2112;4;1206;1010;985;285,400;0;GERB--0528_1206_1010;none;202307240000;202307281200;38;100
0091017700_08062023000115;0090016500;1GRA;0091017700;177GRF;111105173R;SFDA--9022;1;1200;1000;975;281,840;45;GERB--1213_1200_1000;none;202307240000;202307281200;12;100
0091017700_08062023000548;0090016500;1GRA;0091017700;177GRF;150107908R;SLI---2112;1;1206;1010;985;283,960;0;GERB--0528_1206_1010;none;202307240000;202307281200;37;100
0091017700_08062023001574;0090016500;1GRA;0091017700;177GR5;135023545R;SLI---2112;6;1206;1010;785;163,240;0;GERB--0528_1206_1010;none;202307240000;202307281900;8;100
0091017700_08062023001801;0090016500;1GRA;0091017700;177GRF;111100160R;SFDA--9022;4;1200;1000;975;283,880;45;GERB--1213_1200_1000;none;202307240000;202307281200;13;100
0091017700_08062023002098;0090016500;1GRA;0091017700;177GRF;111103561R;SFDA--9022;7;1200;1000;975;281,840;45;GERB--1213_1200_1000;none;202307240000;202307281200;12;100
0091017700_08062023002103;0090016500;1GRA;0091017700;177GRF;111108473R;SFDA--9022;2;1200;1000;975;268,760;45;GERB--1213_1200_1000;none;202307240000;202307280730;9;100
0091017700_08062023002224;0090016500;1GRA;0091017700;177GR5;111109158R;SFDA--9022;3;1200;1000;975;256,448;45;GERB--1213_1200_1000;none;202307240000;202307280730;8;100
0091017700_08062023002253;0090016500;1GRA;0091017700;177GRF;111100160R;SFDA--9022;3;1200;1000;975;283,880;45;GERB--1213_1200_1000;none;202307240000;202307281900;13;100
0091017700_08062023003241;0090016500;1GRA;0091017700;177GRF;150100347R;SLI---2112;2;1206;1010;985;285,400;0;GERB--0528_1206_1010;none;202307240000;202307281900;38;100
0091017700_08062023003353;0090016500;1GRA;0091017700;177GRF;150100347R;SLI---2112;3;1206;1010;985;285,400;0;GERB--0528_1206_1010;none;202307240000;202307280730;38;100
0091017700_08062023003806;0090016500;1GRA;0091017700;177GRF;111108473R;SFDA--9022;2;1200;1000;975;268,760;45;GERB--1213_1200_1000;none;202307240000;202307281900;9;100
0091017700_08062023003905;0090016500;1GRA;0091017700;177GRF;111103561R;SFDA--9022;6;1200;1000;975;281,840;45;GERB--1213_1200_1000;none;202307240000;202307280730;12;100
0091017700_08062023003950;0090016500;1GRA;0091017700;177GR5;135023545R;SLI---2112;3;1206;1010;785;163,240;0;GERB--0528_1206_1010;none;202307240000;202307280730;8;100
0091017700_08062023004421;0090016500;1GRA;0091017700;177GR5;111109158R;SFDA--9022;4;1200;1000;975;256,448;45;GERB--1213_1200_1000;none;202307240000;202307281900;8;100
0091017700_08062023004962;0090016500;1GRA;0091017700;177GR5;111109158R;SFDA--9022;8;1200;1000;975;256,448;45;GERB--1213_1200_1000;none;202307240000;202307281200;8;100
0091017700_08062023005052;0090016500;1GRA;0091017700;177GR5;135023545R;SLI---2112;7;1206;1010;785;163,240;0;GERB--0528_1206_1010;none;202307240000;202307281200;8;100
0091017700_08062023005448;0090016500;1GRA;0091017700;177GRF;111108473R;SFDA--9022;1;1200;1000;975;268,760;45;GERB--1213_1200_1000;none;202307240000;202307281200;9;100
0091017700_08062023005615;0090016500;1GRA;0091017700;177GRF;111103561R;SFDA--9022;6;1200;1000;975;281,840;45;GERB--1213_1200_1000;none;202307240000;202307281900;12;100
0091017700_08062023005704;0090016500;1GRA;0091017700;177GRF;111105173R;SFDA--9022;1;1200;1000;975;281,840;45;GERB--1213_1200_1000;none;202307240000;202307280730;12;100
0091017700_08062023005814;0090016500;1GRA;0091017700;177GRF;111100160R;SFDA--9022;2;1200;1000;975;283,880;45;GERB--1213_1200_1000;none;202307240000;202307280730;13;100
