Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0091017200_14062023000006;0040504301;;0091017200;172PF2;172216UA1A;SLI---0770;6;1200;1000;975;217,240;45;GERB--1213_1200_1000;none;202307170000;202307201700;11;100
0091017200_14062023000011;0040504301;;0091017200;172PF2;172214996R;SLI---0770;6;1200;1000;975;195,292;45;GERB--1213_1200_1000;none;202307180000;202307211700;8;100
0091017200_14062023000016;0040504301;;0091017200;172PF2;172211846R;SLI---0770;3;1200;1000;975;206,600;45;GERB--1213_1200_1000;none;202307170000;202307201700;9;100
0091017200_14062023000026;0040504301;;0091017200;172PF2;172216UA1A;SLI---0770;12;1200;1000;975;217,240;45;GERB--1213_1200_1000;none;202307130000;202307181700;11;100
0091017200_14062023000031;0002717500;;0091017200;172PF2;440106UB0B;SLI---0770;7;1200;1000;975;623,400;45;GERB--1213_1200_1000;none;202307130000;202307181700;55;100
0091017200_14062023000046;0040504301;;0091017200;172PF2;172211846R;SLI---0770;8;1200;1000;975;206,600;45;GERB--1213_1200_1000;none;202307180000;202307211700;9;100
0091017200_14062023000051;0040504301;;0091017200;172PF2;172214996R;SLI---0770;3;1200;1000;975;195,292;45;GERB--1213_1200_1000;none;202307130000;202307181700;8;100
0091017200_14062023000078;0002717500;;0091017200;172PF2;440109236R;SLI---0770;1;1200;1000;975;950,875;45;GERB--1213_1200_1000;none;202307170000;202307201700;81;100
0091017200_14062023000092;0040504301;;0091017200;172PF2;172211659R;SLI---0770;2;1200;1000;975;196,600;45;GERB--1213_1200_1000;none;202307170000;202307201700;9;100
0091017200_14062023000094;0002717500;;0091017200;172PF2;440006UB0B;SLI---0770;7;1200;1000;975;623,400;45;GERB--1213_1200_1000;none;202307130000;202307181700;55;100
0091017200_14062023000102;0040504301;;0091017200;172PF2;172214996R;SLI---0770;2;1200;1000;975;195,292;45;GERB--1213_1200_1000;none;202307170000;202307201700;8;100
0091017200_14062023000109;0040504301;;0091017200;172PF2;172211846R;SLI---0770;7;1200;1000;975;206,600;45;GERB--1213_1200_1000;none;202307130000;202307181700;9;100
0091017200_14062023000119;0040504301;;0091017200;172PF2;172211659R;SLI---0770;2;1200;1000;975;196,600;45;GERB--1213_1200_1000;none;202307130000;202307181700;9;100
0091017200_14062023000121;0002717500;;0091017200;172PF2;440106UB0B;SLI---0770;3;1200;1000;975;623,400;45;GERB--1213_1200_1000;none;202307170000;202307201700;55;100
0091017200_14062023000127;0002717500;;0091017200;172PF2;440006UB0B;SLI---0770;3;1200;1000;975;623,400;45;GERB--1213_1200_1000;none;202307170000;202307201700;55;100
