Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090038200_14062023000196;0090038300;383E2A;0090038200;GT;760233708R;MTEM--8573;1;3200;2400;1700;448,054;45;GERB--1774_3200_2400;none;202307260000;202307291615;7;100
0090038200_14062023001182;0090038300;383E2A;0090038200;GT;731126998R;MTEM--8577;1;2200;1200;1500;360,520;45;GERB--0822_2200_1200;none;202307260000;202307291730;4;1
0090038200_14062023002700;0090038300;383E2A;0090038200;GT;760222060R;MTEM--8574;1;3200;2400;1700;444,778;45;GERB--1774_3200_2400;none;202307260000;202307291615;8;100
0090038200_14062023005476;0090038300;383E2A;0090038200;GT;821529490R;MTEM--8553;1;2200;1200;1250;353,116;45;GERB--0822_2200_1200;none;202307260000;202307291730;7;2
0090038200_14062023006999;0090038300;383E2A;0090038200;GT;670001054R;MTEM--8548;1;1800;1200;1000;512,428;45;GERB--0088_1800_1200;none;202307260000;202307291615;11;2
0090038200_14062023008698;0090038300;383E2A;0090038200;GT;821529490R;MTEM--8553;1;2200;1200;1250;353,116;45;GERB--0822_2200_1200;none;202307260000;202307292045;7;2
0090038200_14062023010400;0090038300;383E2A;0090038200;GT;802019902R;MTEM--8543;1;1800;1205;1490;367,400;45;GERB--0513_1800_1205;none;202307260000;202307291845;13;100
0090038200_14062023014461;0090038300;383E2A;0090038200;GT;651126177R;MTEM--8530;1;1800;1200;1330;494,920;45;GERB--0088_1800_1200;none;202307260000;202307292045;6;100
0090038200_14062023016057;0090038300;383E2A;0090038200;GT;901527877R;MTEM--8567;2;1605;1205;960;188,320;45;GERB--0167_1605_1205;none;202307260000;202307292045;1;100
0090038200_14062023016628;0090038300;383E2A;0090038200;GT;821531361R;MTEM--8554;1;2200;1200;1250;353,116;45;GERB--0822_2200_1200;none;202307260000;202307291615;7;2
0090038200_14062023016949;0090038300;383E2A;0090038200;GT;760222060R;MTEM--8574;1;3200;2400;1700;444,778;45;GERB--1774_3200_2400;none;202307260000;202307292045;8;100
0090038200_14062023019629;0090038300;383E2A;0090038200;GT;631006868R;MTEM--8534;1;2400;1200;1490;226,440;45;GERB--0059_2400_1200;none;202307260000;202307291730;4;1
0090038200_14062023020150;0090038300;383E2A;0090038200;GT;901527877R;MTEM--8567;1;1605;1205;960;188,320;45;GERB--0167_1605_1205;none;202307260000;202307291615;1;100
0090038200_14062023021139;0090038300;383E2A;0090038200;GT;775786752R;SLI---1200;1;1600;1200;930;405,850;45;GERB--1613_1600_1200;none;202307260000;202307292045;8;100
0090038200_14062023021340;0090038300;383E2A;0090038200;GT;731123929R;MTEM--8576;1;2000;1200;1500;451,920;45;GERB--0121_2000_1200;none;202307260000;202307291845;6;100
