Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0090038200_14062023014461;P210390025;P210390025_1;A1;0;0;0 ;1800 ;1200 ;1330
0090038200_14062023021139;P210390025;P210390025_2;B1;0;1240;0 ;1600 ;2440 ;930
0090038200_14062023005476;P210390025;P210390025_3;C1;1600;1240;0 ;3800 ;2440 ;1250
0090038200_14062023008698;P210390025;P210390025_3;C2;1600;1240;1250 ;3800 ;2440 ;2455
0090038200_14062023016057;P210390025;P210390025_4;D1;1800;0;0 ;3405 ;1205 ;960
0090038200_14062023016057;P210390025;P210390025_4;D2;1800;0;960 ;3405 ;1205 ;1875
0090038200_14062023020150;P210390025;P210390025_4;D3;1800;0;1875 ;3405 ;1205 ;2790
0090038200_14062023010400;P210390025;P210390025_5;E1;3405;0;0 ;5205 ;1205 ;1490
0090038200_14062023021340;P210390025;P210390025_6;F1;3800;1240;0 ;5800 ;2440 ;1500
0090038200_14062023019629;P210390025;P210390025_7;G1;5205;0;0 ;7605 ;1200 ;1490
0090038200_14062023001182;P210390025;P210390025_8;H1;5800;1240;0 ;8000 ;2440 ;1500
0090038200_14062023006999;P210390025;P210390025_9;I1;7605;0;0 ;9405 ;1200 ;1000
0090038200_14062023016628;P210390025;P210390025_10;J1;8000;1240;0 ;10200 ;2440 ;1250
0090038200_14062023016949;P210390025;P210390025_11;K1;10200;0;0 ;13400 ;2400 ;1700
