Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P210390025;P210390025_1;A;0;0;0;1800;1200;1330
P210390025;P210390025_2;B;0;1240;0;1600;2440;930
P210390025;P210390025_3;C;1600;1240;0;3800;2440;2455
P210390025;P210390025_4;D;1800;0;0;3405;1205;2790
P210390025;P210390025_5;E;3405;0;0;5205;1205;1490
P210390025;P210390025_6;F;3800;1240;0;5800;2440;1500
P210390025;P210390025_7;G;5205;0;0;7605;1200;1490
P210390025;P210390025_8;H;5800;1240;0;8000;2440;1500
P210390025;P210390025_9;I;7605;0;0;9405;1200;1000
P210390025;P210390025_10;J;8000;1240;0;10200;2440;1250
P210390025;P210390025_11;K;10200;0;0;13400;2400;1700
