Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0090017100_14062023004721;P200050703;P200050703_1;A1;0;0;0 ;1000 ;1200 ;975
0090017100_14062023004721;P200050703;P200050703_1;A2;0;0;975 ;1000 ;1200 ;1905
0090017100_14062023004721;P200050703;P200050703_1;A3;0;0;1905 ;1000 ;1200 ;2835
0090017100_14062023004721;P200050703;P200050703_2;B1;0;1240;0 ;1000 ;2440 ;975
0090017100_14062023004721;P200050703;P200050703_2;B2;0;1240;975 ;1000 ;2440 ;1905
0090017100_14062023013074;P200050703;P200050703_2;B3;0;1240;1905 ;1000 ;2440 ;2835
0090017100_14062023013074;P200050703;P200050703_3;C1;1000;1240;0 ;2000 ;2440 ;975
0090017100_14062023013074;P200050703;P200050703_3;C2;1000;1240;975 ;2000 ;2440 ;1905
0090017100_14062023013074;P200050703;P200050703_3;C3;1000;1240;1905 ;2000 ;2440 ;2835
0090017100_14062023013074;P200050703;P200050703_4;D1;1000;0;0 ;2000 ;1200 ;975
0090017100_14062023013074;P200050703;P200050703_4;D2;1000;0;975 ;2000 ;1200 ;1905
0090017100_14062023006707;P200050703;P200050703_4;D3;1000;0;1905 ;2000 ;1200 ;2835
0090017100_14062023006707;P200050703;P200050703_5;E1;2000;0;0 ;3000 ;1200 ;975
0090017100_14062023019735;P200050703;P200050703_5;E2;2000;0;975 ;3000 ;1200 ;1860
0090017100_14062023024945;P200050703;P200050703_6;F1;2000;1234;0 ;3010 ;2440 ;385
0090017100_14062023029127;P200050703;P200050703_6;F2;2000;1234;385 ;3010 ;2440 ;770
0090017100_14062023018223;P200050703;P200050703_6;F3;2000;1234;770 ;3010 ;2440 ;1855
0090017100_14062023007165;P200050703;P200050703_7;G1;3000;0;0 ;4000 ;1200 ;930
0090017100_14062023007165;P200050703;P200050703_7;G2;3000;0;930 ;4000 ;1200 ;1815
0090017100_14062023007165;P200050703;P200050703_7;G3;3000;0;1815 ;4000 ;1200 ;2700
0090017100_14062023028885;P200050703;P200050703_8;H1;3010;1240;0 ;4010 ;2440 ;975
0090017100_14062023028885;P200050703;P200050703_8;H2;3010;1240;975 ;4010 ;2440 ;1905
0090017100_14062023028885;P200050703;P200050703_8;H3;3010;1240;1905 ;4010 ;2440 ;2835
0090017100_14062023028885;P200050703;P200050703_9;I1;4000;0;0 ;5000 ;1200 ;975
0090017100_14062023028885;P200050703;P200050703_9;I2;4000;0;975 ;5000 ;1200 ;1905
0090017100_14062023022473;P200050703;P200050703_9;I3;4000;0;1905 ;5000 ;1200 ;2835
0090017100_14062023022473;P200050703;P200050703_10;J1;4010;1240;0 ;5010 ;2440 ;975
0090017100_14062023022473;P200050703;P200050703_10;J2;4010;1240;975 ;5010 ;2440 ;1905
0090017100_14062023022473;P200050703;P200050703_10;J3;4010;1240;1905 ;5010 ;2440 ;2835
0090017100_14062023022473;P200050703;P200050703_11;K1;5000;0;0 ;6000 ;1200 ;975
0090017100_14062023022473;P200050703;P200050703_11;K2;5000;0;975 ;6000 ;1200 ;1905
0090017100_14062023022473;P200050703;P200050703_11;K3;5000;0;1905 ;6000 ;1200 ;2835
0090017100_14062023022473;P200050703;P200050703_12;L1;5010;1240;0 ;6010 ;2440 ;975
0090017100_14062023022473;P200050703;P200050703_12;L2;5010;1240;975 ;6010 ;2440 ;1905
0090017100_14062023022189;P200050703;P200050703_12;L3;5010;1240;1905 ;6010 ;2440 ;2835
0090017100_14062023022189;P200050703;P200050703_13;M1;6000;0;0 ;7000 ;1200 ;975
