Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090017100_14062023000444;0021448500;;0090017100;171GC120;969941122R;SLI---0770;1;1200;1000;975;157,404;45;GERB--1213_1200_1000;none;202307040000;202307110845;3;100
0090017100_14062023002145;0021448500;;0090017100;171GC120;769135169R;SFDA--4143;1;1200;1000;930;173,080;45;GERB--1213_1200_1000;none;202307040000;202307110845;2;100
0090017100_14062023002677;0021448500;;0090017100;171GC120;638455915R;SLI---0770;1;1200;1000;975;161,800;45;GERB--1213_1200_1000;none;202307040000;202307110845;2;100
0090017100_14062023002915;0021448500;;0090017100;171GC120;764634320R;SLI---0770;3;1200;1000;975;165,050;45;GERB--1213_1200_1000;none;202307050000;202307120845;3;100
0090017100_14062023004361;0021448500;;0090017100;171C12B;767499731R;SLI---0770;3;1200;1000;975;147,268;45;GERB--1213_1200_1000;none;202307040000;202307110845;1;100
0090017100_14062023007657;0021448500;;0090017100;171GC120;969941122R;SLI---0770;5;1200;1000;975;157,404;45;GERB--1213_1200_1000;none;202307040000;202307111730;3;100
0090017100_14062023008169;0021448500;;0090017100;171GC120;638455915R;SLI---0770;4;1200;1000;975;161,800;45;GERB--1213_1200_1000;none;202307040000;202307111730;2;100
0090017100_14062023008751;0021448500;;0090017100;171GC120;769147768R;SFDA--4143;1;1200;1000;930;173,080;45;GERB--1213_1200_1000;none;202307040000;202307110845;2;100
0090017100_14062023010023;0021448500;;0090017100;171GC120;769130008R;SFDA--4143;1;1200;1000;930;171,520;45;GERB--1213_1200_1000;none;202307040000;202307110845;2;100
0090017100_14062023010913;0021448500;;0090017100;171GC120;739179831R;SLI---2112;1;1206;1010;1085;170,360;0;GERB--0528_1206_1010;none;202307040000;202307111105;8;100
