Item ident;Id truck;Id stack;Item code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
0090017100_14062023027273;P192050601;P192050601_1;A1;0;0;0 ;1000 ;1200 ;930
0090017100_14062023018978;P192050601;P192050601_1;A2;0;0;930 ;1000 ;1200 ;1815
0090017100_14062023014595;P192050601;P192050601_1;A3;0;0;1815 ;1000 ;1200 ;2745
0090017100_14062023004361;P192050601;P192050601_2;B1;0;1240;0 ;1000 ;2440 ;975
0090017100_14062023004361;P192050601;P192050601_2;B2;0;1240;975 ;1000 ;2440 ;1905
0090017100_14062023004361;P192050601;P192050601_2;B3;0;1240;1905 ;1000 ;2440 ;2835
0090017100_14062023015292;P192050601;P192050601_3;C1;1000;1240;0 ;2000 ;2440 ;975
0090017100_14062023020786;P192050601;P192050601_4;D1;1000;0;0 ;2010 ;1206 ;1085
0090017100_14062023021507;P192050601;P192050601_4;D2;1000;0;1085 ;2010 ;1206 ;1470
0090017100_14062023015504;P192050601;P192050601_5;E1;2000;1240;0 ;3800 ;2440 ;1050
0090017100_14062023015504;P192050601;P192050601_5;E2;2000;1240;1050 ;3800 ;2440 ;2055
0090017100_14062023015536;P192050601;P192050601_6;F1;2010;0;0 ;3020 ;1206 ;1085
0090017100_14062023016884;P192050601;P192050601_6;F2;2010;0;1085 ;3020 ;1206 ;2270
0090017100_14062023002915;P192050601;P192050601_7;G1;3020;0;0 ;4020 ;1200 ;975
0090017100_14062023002915;P192050601;P192050601_7;G2;3020;0;975 ;4020 ;1200 ;1905
0090017100_14062023002915;P192050601;P192050601_7;G3;3020;0;1905 ;4020 ;1200 ;2835
0090017100_14062023016543;P192050601;P192050601_8;H1;3800;1240;0 ;4800 ;2440 ;930
0090017100_14062023016543;P192050601;P192050601_8;H2;3800;1240;930 ;4800 ;2440 ;1815
0090017100_14062023025583;P192050601;P192050601_8;H3;3800;1240;1815 ;4800 ;2440 ;2745
0090017100_14062023025583;P192050601;P192050601_9;I1;4020;0;0 ;5020 ;1200 ;975
