Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P192050601;P192050601_1;A;0;0;0;1000;1200;2745
P192050601;P192050601_2;B;0;1240;0;1000;2440;2835
P192050601;P192050601_3;C;1000;1240;0;2000;2440;975
P192050601;P192050601_4;D;1000;0;0;2010;1206;1470
P192050601;P192050601_5;E;2000;1240;0;3800;2440;2055
P192050601;P192050601_6;F;2010;0;0;3020;1206;2270
P192050601;P192050601_7;G;3020;0;0;4020;1200;2835
P192050601;P192050601_8;H;3800;1240;0;4800;2440;2745
P192050601;P192050601_9;I;4020;0;0;5020;1200;2790
P192050601;P192050601_10;J;4800;1240;0;5800;2440;2835
P192050601;P192050601_11;K;5020;0;0;6020;1200;2835
P192050601;P192050601_12;L;5800;1240;0;6800;2440;2835
P192050601;P192050601_13;M;6020;0;0;7020;1200;2835
P192050601;P192050601_14;N;6800;1240;0;7800;2440;2835
P192050601;P192050601_15;O;7020;0;0;8020;1200;2835
P192050601;P192050601_16;P;7800;1240;0;8800;2440;2790
P192050601;P192050601_17;Q;8020;0;0;9020;1200;2835
P192050601;P192050601_18;R;8800;1240;0;9800;2440;2835
P192050601;P192050601_19;S;9020;0;0;10020;1200;2835
P192050601;P192050601_20;T;9800;1240;0;10800;2440;2745
P192050601;P192050601_21;U;10020;0;0;11020;1200;2745
P192050601;P192050601_22;V;10800;1234;0;11810;2440;2170
P192050601;P192050601_23;W;11020;0;0;12020;1200;2835
P192050601;P192050601_24;X;11810;1240;0;12810;2440;2835
P192050601;P192050601_25;Y;12020;0;0;13020;1200;2835
