Item ident;Supplier code;Supplier dock;Plant code;Plant dock;Product code;Package code;Number of items;Length;Width;Height;Weight;Nesting height;Stackability code;Forced orientation;Earliest arrival time;Latest arrival time;Inventory cost;Max stackability
0090017100_08062023001697;0002573224;;0090017100;171B38A;767510086R;SLI---0601;6;1200;1000;750;325,780;45;GERB--1213_1200_1000;none;202306150000;202306221745;6;100
0090017100_08062023004090;0002573224;;0090017100;171B38A;641213394R;SLI---1200;5;1600;1200;930;308,810;45;GERB--1613_1600_1200;none;202306140000;202306211745;8;100
0090017100_08062023005161;0002573224;;0090017100;171B38A;767510086R;SLI---0601;1;1200;1000;750;325,780;45;GERB--1213_1200_1000;none;202306150000;202306220715;6;100
0090017100_08062023006626;0002573224;;0090017100;171B38A;641204486R;SLI---1200;9;1600;1200;930;345,315;45;GERB--1613_1600_1200;none;202306140000;202306211745;9;100
0090017100_08062023006961;0002573224;;0090017100;171B38A;8200032534;SLI---0901;1;1600;1200;750;227,688;45;GERB--1613_1600_1200;none;202306140000;202306211745;5;100
0090017100_08062023009818;0002573224;;0090017100;171B38A;8200034009;SLI---1200;2;1600;1200;930;319,700;45;GERB--1613_1600_1200;none;202306150000;202306220930;5;100
0090017100_08062023010293;0002573224;;0090017100;171B38A;767510086R;SLI---0601;5;1200;1000;750;325,780;45;GERB--1213_1200_1000;none;202306150000;202306220930;6;100
0090017100_08062023011409;0002573224;;0090017100;171B38A;767506940R;SLI---0601;6;1200;1000;750;325,780;45;GERB--1213_1200_1000;none;202306140000;202306211745;6;100
0090017100_08062023013337;0002573224;;0090017100;171B38A;8200156662;SLI---0901;1;1600;1200;750;298,150;45;GERB--1613_1600_1200;none;202306140000;202306211745;6;100
0090017100_08062023014484;0002573224;;0090017100;171B38A;641213394R;SLI---1200;9;1600;1200;930;308,810;45;GERB--1613_1600_1200;none;202306150000;202306221745;8;100
0090017100_08062023016399;0002573224;;0090017100;171B38A;8200034009;SLI---1200;6;1600;1200;930;319,700;45;GERB--1613_1600_1200;none;202306140000;202306211745;5;100
0090017100_08062023016461;0002573224;;0090017100;171B38A;767510086R;SLI---0601;2;1200;1000;750;325,780;45;GERB--1213_1200_1000;none;202306140000;202306211745;6;100
0090017100_08062023021025;0002573224;;0090017100;171B38A;767506940R;SLI---0601;5;1200;1000;750;325,780;45;GERB--1213_1200_1000;none;202306150000;202306220930;6;100
0090017100_08062023021953;0002573224;;0090017100;171B38A;8200156662;SLI---0901;1;1600;1200;750;298,150;45;GERB--1613_1600_1200;none;202306150000;202306221745;6;100
0090017100_08062023022382;0002573224;;0090017100;171B38A;8200032534;SLI---0901;1;1600;1200;750;227,688;45;GERB--1613_1600_1200;none;202306150000;202306221745;5;100
0090017100_08062023022880;0002573224;;0090017100;171B38A;767506940R;SLI---0601;1;1200;1000;750;325,780;45;GERB--1213_1200_1000;none;202306150000;202306220715;6;100
0090017100_08062023024186;0002573224;;0090017100;171B38A;8200156662;SLI---0901;1;1600;1200;750;298,150;45;GERB--1613_1600_1200;none;202306150000;202306220930;6;100
0090017100_08062023024219;0002573224;;0090017100;171B38A;767506940R;SLI---0601;6;1200;1000;750;325,780;45;GERB--1213_1200_1000;none;202306150000;202306221745;6;100
