Id truck;Id stack;Stack code;X origin;Y origin;Z origin;X extremity;Y extremity;Z extremity
P172156215;P172156215_1;A;0;0;0;1600;1200;2700
P172156215;P172156215_2;B;0;1240;0;1600;2440;2700
P172156215;P172156215_3;C;1600;1240;0;3200;2440;2700
P172156215;P172156215_4;D;1600;0;0;3200;1200;2865
P172156215;P172156215_5;E;3200;0;0;4200;1200;2865
P172156215;P172156215_6;F;3200;1240;0;4200;2440;2865
P172156215;P172156215_7;G;4200;1240;0;5200;2440;2865
P172156215;P172156215_8;H;4200;0;0;5200;1200;2865
P172156215;P172156215_9;I;5200;0;0;6200;1200;2865
P172156215;P172156215_10;J;5200;1240;0;6200;2440;2865
P172156215;P172156215_11;K;6200;1240;0;7800;2440;2700
P172156215;P172156215_12;L;6200;0;0;7800;1200;2700
P172156215;P172156215_13;M;7800;0;0;9400;1200;2700
P172156215;P172156215_14;N;7800;1240;0;9400;2440;2700
P172156215;P172156215_15;O;9400;1240;0;10400;2440;2865
P172156215;P172156215_16;P;9400;0;0;11000;1200;2700
P172156215;P172156215_17;Q;10400;1240;0;12000;2440;2700
P172156215;P172156215_18;R;11000;0;0;12000;1200;2865
P172156215;P172156215_19;S;12000;0;0;13200;1600;2700
